FIPS,county,IRR2000,IRR2010,pct_change_proprietors_2000_2017,proprietors_2000,proprietors_2017,pct_proprietors_employment_2000,pct_proprietors_employment_2010,pct_proprietors_employment_2017,total_employment_2017,wage_salary_jobs_2017,pct_change_pro_emp_2000_2017,pct_change_pro_emp_2010_2017,pct_broadband_FCC,pct_broadband_MS,state,population,venturedensitymay18,venturedensitynov18,venturedensityfeb19,venturedensitysep19,venturedensityoct19,venturedensitynov19,venturedensitydec19,highlyactive_vdmay18,highlyactive_vdnov18,highlyactive_vdfeb19,highlyactive_vdsep19,highlyactive_vdoct19,highlyactive_vdnov19,highlyactive_vddec19,pctblack,pctnative,pctasian,pcthispanic,pctagriculture,pctconstruction,pctwholesale,pctretail,pcttransportation,pctinformation_tech,pctfinance,pctprofessional,pcteducation,pctother_occupation,pctpublic,pctbroadband,pctbroadband_poorpeople,pcthighschool,pctcollege,pctmillennial,pctgenx,pctbabyboomer,pctforeignborn,prosperityindex2016,prosperity2007,change_prosperity,medinc2016,medinc2017,change_income,unemployment,net_migration,frac_under_25mbpsDL.sept,samples.sept,frac_under_3mbpsUL.sept,UL_3_samples.sept,frac_under_10mbpsDL.sept,DL_10_samples.sept,frac_under_1mbpsUL.sept,UL_1_samples.sept,DLmbps.sept,ULmbps.sept,ul_sample_size.sept,dl_sample_size.sept,frac_over_25DL.sept,frac_over_3UL.sept,frac_under_25mbpsDL.oct,samples.oct,frac_under_3mbpsUL.oct,UL_3_samples.oct,frac_under_10mbpsDL.oct,DL_10_samples.oct,frac_under_1mbpsUL.oct,UL_1_samples.oct,DLmbps.oct,ULmbps.oct,ul_sample_size.oct,dl_sample_size.oct,frac_over_25DL.oct,frac_over_3UL.oct,frac_under_25mbpsDL.nov,samples.nov,frac_under_3mbpsUL.nov,UL_3_samples.nov,frac_under_10mbpsDL.nov,DL_10_samples.nov,frac_under_1mbpsUL.nov,UL_1_samples.nov,DLmbps.nov,ULmbps.nov,ul_sample_size.nov,dl_sample_size.nov,frac_over_25DL.nov,frac_over_3UL.nov,frac_under_25mbpsDL.dec,samples.dec,frac_under_3mbpsUL.dec,UL_3_samples.dec,frac_under_10mbpsDL.dec,DL_10_samples.dec,frac_under_1mbpsUL.dec,UL_1_samples.dec,DLmbps.dec,ULmbps.dec,ul_sample_size.dec,dl_sample_size.dec,frac_over_25DL.dec,frac_over_3UL.dec
48001,Anderson County,0.5,0.5,0.019147345,6685,6813,0.2683,0.2693,0.242688704,28073,21260,-0.0256,-0.0266,0.52,0.12,Texas,57772,0.515820801,1.301668644,1.024717808,0.968174875,1.460235357,0.971370101,0.960186601,0.288624495,0.273488879,0.240600988,0.30033777,0.280681401,0.296772923,0.289643253,21.19711876,0.356574118,0.581596613,16.96150398,9.5,5.099999905,2.0999999049999998,18.799999239999998,5.900000095,0.800000012,3.4000000950000002,7.199999809,21.200000760000002,3.9000000950000002,11.69999981,64.2,37.59999847,80.19999695,11.80000019,21.799999239999998,31.09999847,20,6.513535976,21.91446686,22.57285309,-0.65838623,41979,42146,167,4.3,-916,0.8291666666666667,480,0.7548387096774194,465,0.5791666666666667,480,0.5419354838709678,465,8.152678400000001,0.7062859396807185,47728,54537,0.17083333333333328,0.2451612903225806,0.8194174757281554,515,0.7364185110663984,497,0.6019417475728155,515,0.5835010060362174,497,7.570918603512155,0.6788306798478194,47684,54490,0.18058252427184462,0.26358148893360156,0.7956989247311828,558,0.6774774774774774,555,0.5394265232974911,558,0.42882882882882883,555,8.555655421664955,1.3996468259015258,47684,54490,0.20430107526881724,0.32252252252252256,0.8427876823338736,617,0.7120954003407155,587,0.6434359805510534,617,0.48722316865417375,587,5.6142375595043355,1.0110115474046846,47672,54473,0.15721231766612642,0.2879045996592845
48003,Andrews County,0.56,0.56,0.918103448,1392,2670,0.2339,0.2274,0.25877108,10318,7648,0.0249,0.0314,0.83,0.4,Texas,17215,0.511182129,1.45803082,1.498692989,2.137881279,2.089838982,2.057810783,2.049803734,0.169707745,0.162648857,0.133604407,0.280246628,0.248218432,0.296260696,0.312274788,1.48707521,0.087133311,0.209119961,54.37118912,29.39999962,7.5,2.299999952,7.599999905,8.199999809,0.5,4.599999905,8,14.80000019,3.200000048,1.799999952,81.5,48,73.80000305,10.600000380000001,20.90000153,25.200000760000002,15,13.6160329,44.25770187,57.74280167,-13.48509979,69489,70121,632,4.5,-591,0.6388888888888888,108,0.19014084507042253,142,0.5092592592592593,108,0.08450704225352113,142,8.408268800000002,24.171384064583844,16286,20648,0.36111111111111116,0.8098591549295775,0.6301369863013698,219,0.25396825396825395,252,0.4703196347031963,219,0.14682539682539683,252,10.98294509492792,9.77962650217373,16288,20650,0.36986301369863017,0.746031746031746,0.5612244897959183,196,0.20833333333333334,216,0.41836734693877553,196,0.125,216,17.026366895410042,9.960680139811082,16288,20650,0.4387755102040817,0.7916666666666666,0.5247933884297521,242,0.24031007751937986,258,0.34710743801652894,242,0.13953488372093023,258,21.374671317614006,10.1479472376159,16288,20650,0.4752066115702479,0.7596899224806202
48005,Angelina County,0.48,0.48,0.335068799,8067,10770,0.1783,0.2024,0.223522819,48183,37413,0.0452,0.0211,0.85,0.26,Texas,87657,1.010757804,2.277057171,2.494951963,1.460350513,1.565116882,1.457171679,1.453992844,0.45629403,0.446056783,0.472295433,0.303259562,0.321336269,0.296901911,0.295630377,14.58297634,0.109517783,1.009616971,21.11069298,3.5999999049999998,6.5,2.200000048,13.19999981,4.199999809,0.600000024,3.799999952,7.5,28,5.699999809,4,76,49.79999924,79.90000153,15.69999981,19.200000760000002,25.200000760000002,20.299999239999998,8.047275245,18.21893311,31.05166626,-12.83273315,41898,44185,2287,7.6,87,0.5715488215488216,1188,0.4618973561430793,1286,0.3543771043771044,1188,0.3545878693623639,1286,17.803703115586337,3.679084536304832,142423,124024,0.4284511784511784,0.5381026438569207,0.5314285714285715,1400,0.4564204923486361,1503,0.3221428571428571,1400,0.3100465735196274,1503,21.316236625637416,4.1704665172537,142421,124022,0.46857142857142853,0.5435795076513639,0.4788047255038221,1439,0.40041637751561415,1441,0.2529534398888117,1439,0.2505204718945177,1441,28.675061939429433,8.867554583353261,142421,124022,0.5211952744961779,0.5995836224843858,0.47051520794537555,1611,0.412779552715655,1565,0.25884543761638734,1611,0.23450479233226837,1565,28.723049985041996,7.055626453022931,142420,124021,0.5294847920546244,0.587220447284345
48007,Aransas County,0.5,0.49,0.218390805,3393,4134,0.353,0.3802,0.383950961,10767,6633,0.031,0.0038,1,0.3,Texas,24729,1.621577859,3.995309114,3.886125565,3.087602377,11.15453243,3.137581587,3.151464701,0.723688066,0.73193419,0.699583471,0.563796982,2.153712034,0.577792013,0.589787681,1.617534041,0.181972578,1.006914973,26.26875305,6.300000191,13.399999619999999,2.9000000950000002,13.600000380000001,3.200000048,0.600000024,4.5,8.899999619,17.200000760000002,7.199999809,3.5999999049999998,75.7,53.29999924,83.19999695,20.200000760000002,13.80000019,22.799999239999998,31.19999886,5.786728114,39.80374908,18.92234802,20.88140106,45101,44851,-250,6.7,2213,0.6756756756756757,148,0.39622641509433965,212,0.41216216216216217,148,0.3160377358490566,212,13.180814922218437,7.194788767700841,24603,25826,0.32432432432432434,0.6037735849056604,0.5296167247386759,287,0.3183098591549296,355,0.3240418118466899,287,0.18591549295774648,355,19.98620591882373,9.131953840178609,24592,25818,0.47038327526132406,0.6816901408450704,0.45564516129032256,248,0.25675675675675674,296,0.3225806451612903,248,0.17567567567567569,296,30.11302300243128,10.578961371755112,24592,25818,0.5443548387096775,0.7432432432432432,0.4748603351955307,179,0.3395061728395062,162,0.31843575418994413,179,0.21604938271604937,162,28.580268266612215,9.873946136328588,24590,25815,0.5251396648044693,0.6604938271604939
48009,Archer County,0.57,0.57,0.609090909,1650,2655,0.4457,0.4696,0.557070919,4766,2111,0.1114,0.0875,0.88,0.24,Texas,8750,0.45714286,0.754285693,0.834285736,2.095886707,1.685804963,2.06968832,2.06968832,0.184069261,0.171428576,0.22857143,0.982843805,0.452056348,0.955704134,0.951827038,0.685714304,1.131428599,0.491428554,8.2514286040000009,12.69999981,7.099999905,4,13.600000380000001,5.900000095,1.100000024,5.199999809,6.099999905,24.700000760000002,4.900000095,4.5,70,31,90.09999847,21.799999239999998,14.70000076,26.89999962,25.19999886,2.171428502,45.54987335,53.47862625,-7.928752899,61622,62407,785,3,-11,0.39344262295081966,61,0.10714285714285714,84,0.14754098360655737,61,0.09523809523809523,84,28.023193600000003,19.99299657376005,12023,12388,0.6065573770491803,0.8928571428571429,0.3870967741935484,31,0.24242424242424243,33,0.2903225806451613,31,0.21212121212121213,33,26.077067506628914,19.44756275546624,12023,12388,0.6129032258064516,0.7575757575757576,0.3333333333333333,36,0.08571428571428572,35,0.19444444444444445,36,0.08571428571428572,35,26.46314782064515,19.39000081378805,12023,12388,0.6666666666666667,0.9142857142857143,0.32142857142857145,56,0.1694915254237288,59,0.2857142857142857,56,0.15254237288135594,59,216.9803599397823,92.63658478493313,12023,12388,0.6785714285714286,0.8305084745762712
48011,Armstrong County,0.63,0.64,-0.068143101,587,547,0.5307,0.5577,0.542120912,1009,462,0.0114,-0.0156,0.53,0.1,Texas,1913,1.411395669,1.150026083,2.718243599,2.101167202,2.023346424,2.023346186,2.062256813,0.357553571,0.470465243,0.470465243,0.599553809,0.505836546,0.548429089,0.548429042,0.731834829,1.202300072,0,12.70256233,10.30000019,15.80000019,3.9000000950000002,9.100000381,6.099999905,1.200000048,3.5,4.800000191,24,5,7.199999809,73.1,42.29999924,89.80000305,23.10000038,12.30000019,26.5,26.700000760000002,2.038682625,71.98210144,72.97021484,-0.988113403,61250,65000,3750,1.8,404,0.9473684210526315,19,0.6666666666666666,18,0.631578947368421,19,0.2777777777777778,18,3.996559566507681,2.384191593172079,884,669,0.052631578947368474,0.33333333333333337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,0,1,15.4606475800552,1.0171877905344426,884,669,0,0,0.9,10,0.75,8,0.6,10,0.125,8,5.922781811738851,1.7088894419500757,884,669,0.09999999999999998,0.25
48013,Atascosa County,0.52,0.51,0.325943143,5593,7416,0.363,0.3645,0.351986331,21069,13653,-0.011,-0.0125,0.94,0.12,Texas,47710,0.624607027,1.435757756,1.398029804,2.178094864,2.511939764,2.219525814,2.198810339,0.217759013,0.22846362,0.257807583,0.438546343,0.37071225,0.430919416,0.424563698,0.735694826,0.144623771,0.312303483,63.07692719,10.600000380000001,11.5,2.200000048,9.899999619,7.699999809,1.100000024,5.5,6.400000095,21.799999239999998,4.300000191,5.099999905,73.7,50.29999924,75.30000305,14.30000019,18.799999239999998,25.10000038,19.799999239999998,6.178998202,39.69623184,29.07298279,10.62324905,51168,53181,2013,6.1,-1812,0.704225352112676,284,0.5040650406504065,246,0.5035211267605634,284,0.27235772357723576,246,9.611445000723648,2.9489931112092806,23941,25066,0.295774647887324,0.49593495934959353,0.7454545454545455,275,0.5038167938931297,262,0.5018181818181818,275,0.27099236641221375,262,9.702137721016184,2.9349666357117035,23928,25051,0.2545454545454545,0.4961832061068703,0.7974683544303798,316,0.5772870662460567,317,0.6392405063291139,316,0.29652996845425866,317,4.860098333106082,2.219398482994837,23928,25051,0.20253164556962022,0.42271293375394325,0.7926421404682275,299,0.5376712328767124,292,0.6421404682274248,299,0.3184931506849315,292,6.254375806610581,2.6088244065699513,23932,25060,0.20735785953177255,0.46232876712328763
48015,Austin County,0.52,0.52,0.292842459,5351,6918,0.3812,0.3447,0.38403464,18014,11096,0.0028,0.0393,0.53,0.14,Texas,29107,2.683203459,3.452777624,6.383344173,3.701699257,6.246064186,3.755817652,3.734170437,0.658310294,0.711169124,1.374239922,0.883268751,1.449101448,0.845141988,0.841964781,8.479060173,0.027484799,0.051533997,25.50245476,6,9.600000381,3.5999999049999998,13.399999619999999,7.400000095,1.5,4.699999809,7.5,18.89999962,4.599999905,3.700000048,70.9,45.5,82.40000153,21,16.39999962,25.299999239999998,25,10.65723002,45.32004166,60.79428101,-15.47423935,50748,56681,5933,5.4,38,0.901840490797546,326,0.6453900709219859,423,0.7699386503067485,326,0.2222222222222222,423,4.5809664,2.2789627438739823,25017,23700,0.09815950920245398,0.35460992907801414,0.8933717579250721,347,0.6151898734177215,395,0.7031700288184438,347,0.20253164556962025,395,5.2711451994561855,2.3118974612476233,25001,23686,0.10662824207492794,0.38481012658227853,0.856353591160221,362,0.5748031496062992,381,0.6906077348066298,362,0.2020997375328084,381,6.009841661239849,2.780876334841635,25001,23686,0.14364640883977897,0.4251968503937008,0.7754010695187166,374,0.5771276595744681,376,0.5935828877005348,374,0.2579787234042553,376,5.874148365523035,2.3527560725995396,24996,23681,0.22459893048128343,0.4228723404255319
48017,Bailey County,0.59,0.59,-0.138099106,1231,1061,0.3251,0.2655,0.300141443,3535,2474,-0.025,0.0346,0.74,0.09,Texas,7131,0.476791471,1.065769196,1.051745892,1.122964621,1.310125351,1.141680717,1.141680717,0.238395765,0.238395751,0.16827935,0.420975545,0.318173319,0.411823904,0.375217362,2.131538391,0.042069837,0.490814775,61.71644974,18.700000760000002,10.399999619999999,4.099999905,11.19999981,11.30000019,0.300000012,2.799999952,5.099999905,16.299999239999998,5.900000095,2.200000048,56.5,49.29999924,67.59999847,10.69999981,15.40000057,22,19.10000038,20.69835961,10.03590012,30.3663063,-20.33040619,37655,40589,2934,2.2,610,0.84,25,0.6956521739130435,23,0.6,25,0.2608695652173913,23,7.420027490913187,2.4404166310628317,2549,2493,0.16000000000000003,0.30434782608695654,0.8333333333333334,30,0.7931034482758621,29,0.7,30,0.41379310344827586,29,4.931003979630533,1.5382050292337452,2549,2493,0.16666666666666663,0.2068965517241379,0.9666666666666667,30,0.896551724137931,29,0.6666666666666666,30,0.3793103448275862,29,6.633957549685447,2.311814759158263,2549,2493,0.033333333333333326,0.10344827586206895,0.8,40,0.7105263157894737,38,0.4,40,0.18421052631578946,38,11.94239217771654,2.7740271692685545,2549,2493,0.19999999999999996,0.2894736842105263
48019,Bandera County,0.54,0.54,0.286804182,3539,4554,0.5606,0.5746,0.558430411,8155,3601,-0.0022,-0.0162,0.34,0.35,Texas,21015,2.0128479,4.487270832,4.292172432,5.542804718,6.506092072,5.491163731,5.456736088,0.907555938,0.937425613,0.851772547,1.507734042,1.463425398,1.484750398,1.454871427,0.675707817,0.504401624,0.190340236,17.69212532,5.599999905,10.30000019,2.200000048,10.19999981,2.9000000950000002,2.299999952,6.199999809,6.699999809,25.700000760000002,7.199999809,6.5,71.8,51.70000076,86.80000305,24,12.29999924,25.10000038,34.09999847,4.425410554,46.15829849,24.58950043,21.56879807,54455,55434,979,5.7,-37,0.5538461538461539,260,0.44274809160305345,262,0.38076923076923075,260,0.2633587786259542,262,18.360252683434755,5.514109393636569,26900,26832,0.4461538461538461,0.5572519083969465,0.5701357466063348,221,0.41232227488151657,211,0.3438914027149321,221,0.2037914691943128,211,21.39268104610874,7.63102423162154,26900,26832,0.4298642533936652,0.5876777251184835,0.6107594936708861,316,0.3904761904761905,315,0.439873417721519,316,0.1873015873015873,315,13.417574175718505,8.401499393623132,26900,26832,0.3892405063291139,0.6095238095238096,0.4528301886792453,371,0.3024523160762943,367,0.3261455525606469,371,0.1771117166212534,367,28.562247177001957,9.10468379612797,26899,26832,0.5471698113207547,0.6975476839237057
