FIPS,county,IRR2000,IRR2010,pct_change_proprietors_2000_2017,proprietors_2000,proprietors_2017,pct_proprietors_employment_2000,pct_proprietors_employment_2010,pct_proprietors_employment_2017,total_employment_2017,wage_salary_jobs_2017,pct_change_pro_emp_2000_2017,pct_change_pro_emp_2010_2017,pct_broadband_FCC,pct_broadband_MS,state,population,venturedensitymay18,venturedensitynov18,venturedensityfeb19,venturedensitysep19,venturedensityoct19,venturedensitynov19,venturedensitydec19,highlyactive_vdmay18,highlyactive_vdnov18,highlyactive_vdfeb19,highlyactive_vdsep19,highlyactive_vdoct19,highlyactive_vdnov19,highlyactive_vddec19,pctblack,pctnative,pctasian,pcthispanic,pctagriculture,pctconstruction,pctwholesale,pctretail,pcttransportation,pctinformation_tech,pctfinance,pctprofessional,pcteducation,pctother_occupation,pctpublic,pctbroadband,pctbroadband_poorpeople,pcthighschool,pctcollege,pctmillennial,pctgenx,pctbabyboomer,pctforeignborn,prosperityindex2016,prosperity2007,change_prosperity,medinc2016,medinc2017,change_income,unemployment,net_migration,frac_BB.sept,frac_BB.oct,frac_BB.nov,frac_BB.dec,pctbbfrac_ASU,emp_cbp_2012,est_cbp_2012,est_50_cbp_2012,est_10_cbp_2012,pct_50_est_cbp_2012,pct_10_est_cbp_2012,emp_cbp_2017,est_cbp_2017,est_50_cbp_2017,est_10_cbp_2017,pct_50_est_cbp_2017,pct_10_est_cbp_2017,emp_cbp_2018,est_cbp_2018,est_50_cbp_2018,est_10_cbp_2018,pct_50_est_cbp_2018,pct_10_est_cbp_2018,neest_nemp_2012,nonfarmneest_nemp_2012,pct_nonfarmneest_nemp_2012,neest_nemp_2017,nonfarmneest_nemp_2017,pct_nonfarmneest_nemp_2017,neest_nemp_2018,nonfarmneest_nemp_2018,pct_nonfarmneest_nemp_2018,chg_pct_nonfarmneest_nemp_2012_2018,pct_fixed_acs_2018,pct_nobroadband_acs_2018,pct_cellular_acs_2018,pct_sat_acs_2018,pct_anybroadband_acs_2018,totalemp_bea_2012,totalemp_bea_2018,salaryemp_bea_2012,salaryemp_bea_2018,proprietors_bea_2012,proprietors_bea_2018,nonfarmproprietors_bea_2012,nonfarmproprietors_bea_2018,pct_nonfarm_bea_2012,pct_nonfarm_bea_2018,pct_chg_bea_2012_2018,emp_abs_2012,firm_2012,emp_abs_2017,firm_2017,chg_firm_2012_2017,venturedensity_mean,highlyactive_vd_mean,pct_broadband_mlab
48001,Anderson County,0.5,0.5,0.019147345,6685,6813,0.2683,0.2693,0.242688704,28073,21260,-0.0256,-0.0266,0.52,0.12,Texas,57772,0.515820801,1.301668644,1.024717808,0.968174875,1.460235357,0.971370101,0.960186601,0.288624495,0.273488879,0.240600988,0.30033777,0.280681401,0.296772923,0.289643253,21.19711876,0.356574118,0.581596613,16.96150398,9.5,5.099999905,2.0999999049999998,18.799999239999998,5.900000095,0.800000012,3.4000000950000002,7.199999809,21.200000760000002,3.9000000950000002,11.69999981,64.2,37.59999847,80.19999695,11.80000019,21.799999239999998,31.09999847,20,6.513535976,21.91446686,22.57285309,-0.65838623,41979,42146,167,4.3,-916,0.11805141817576141,0.12925055142392214,0.15268379242063085,0.1165580377791696,0.642,12063,930,890,708,0.956989247311828,0.7612903225806451,11976,899,383,196,0.42602892102335926,0.21802002224694106,12216,891,370,179,0.4152637485970819,0.20089786756453423,2931,2793,0.9529170931422722,2962,2801,0.9456448345712356,3021,2663,0.8814961933134724,-0.07142089982879984,45.4,33.1,9.3,21.3,66.9,26655,28670,19572,21604,7083,7066,5260,5271,0.1973363346464078,0.1838507150331357,-0.013485619613272104,11228,800,11258,711,-89,1.0288820267142857,0.2814499584285714,0.129135949949871
48003,Andrews County,0.56,0.56,0.918103448,1392,2670,0.2339,0.2274,0.25877108,10318,7648,0.0249,0.0314,0.83,0.4,Texas,17215,0.511182129,1.45803082,1.498692989,2.137881279,2.089838982,2.057810783,2.049803734,0.169707745,0.162648857,0.133604407,0.280246628,0.248218432,0.296260696,0.312274788,1.48707521,0.087133311,0.209119961,54.37118912,29.39999962,7.5,2.299999952,7.599999905,8.199999809,0.5,4.599999905,8,14.80000019,3.200000048,1.799999952,81.5,48,73.80000305,10.600000380000001,20.90000153,25.200000760000002,15,13.6160329,44.25770187,57.74280167,-13.48509979,69489,70121,632,4.5,-591,0.23765188551285774,0.2647266044409541,0.32018154803445387,0.3523206769455985,0.815,5253,390,371,261,0.9512820512820512,0.6692307692307692,5305,405,201,85,0.4962962962962963,0.20987654320987653,5757,432,211,82,0.48842592592592593,0.18981481481481483,1165,1148,0.9854077253218884,1334,1092,0.8185907046476761,1449,1435,0.9903381642512077,0.004930438929319325,67.6,15,13.1,7.8,85,9075,10578,7114,8059,1961,2519,1822,2376,0.20077134986225895,0.22461712989222915,0.023845780029970204,4838,303,7500,NA,NA,1.6861772451428574,0.22899450757142858,0.29372017873346606
48005,Angelina County,0.48,0.48,0.335068799,8067,10770,0.1783,0.2024,0.223522819,48183,37413,0.0452,0.0211,0.85,0.26,Texas,87657,1.010757804,2.277057171,2.494951963,1.460350513,1.565116882,1.457171679,1.453992844,0.45629403,0.446056783,0.472295433,0.303259562,0.321336269,0.296901911,0.295630377,14.58297634,0.109517783,1.009616971,21.11069298,3.5999999049999998,6.5,2.200000048,13.19999981,4.199999809,0.600000024,3.799999952,7.5,28,5.699999809,4,76,49.79999924,79.90000153,15.69999981,19.200000760000002,25.200000760000002,20.299999239999998,8.047275245,18.21893311,31.05166626,-12.83273315,41898,44185,2287,7.6,87,0.3007212393620005,0.33537639241979916,0.387032640481208,0.3925628049505957,0.76,30108,1847,1744,1267,0.9442338927991337,0.6859772604223064,28296,1875,893,388,0.47626666666666667,0.20693333333333333,29102,1857,883,399,0.4754981152396338,0.2148626817447496,5071,4912,0.9686452376257149,5552,4133,0.7444164265129684,5782,5247,0.9074714631615358,-0.06117377446417904,63.2,20.2,10.7,5.8,79.8,47441,48265,37930,37065,9511,11200,8613,10322,0.18155182226344302,0.2138609758624262,0.032309153598983176,29856,1526,24801,1411,-115,1.6741998365714286,0.3702534807142857,0.3539232693034009
48007,Aransas County,0.5,0.49,0.218390805,3393,4134,0.353,0.3802,0.383950961,10767,6633,0.031,0.0038,1,0.3,Texas,24729,1.621577859,3.995309114,3.886125565,3.087602377,11.15453243,3.137581587,3.151464701,0.723688066,0.73193419,0.699583471,0.563796982,2.153712034,0.577792013,0.589787681,1.617534041,0.181972578,1.006914973,26.26875305,6.300000191,13.399999619999999,2.9000000950000002,13.600000380000001,3.200000048,0.600000024,4.5,8.899999619,17.200000760000002,7.199999809,3.5999999049999998,75.7,53.29999924,83.19999695,20.200000760000002,13.80000019,22.799999239999998,31.19999886,5.786728114,39.80374908,18.92234802,20.88140106,45101,44851,-250,6.7,2213,0.2623724090369884,0.33667320773849563,0.40245405710386345,0.38934130479273615,0.757,3865,488,478,394,0.9795081967213115,0.8073770491803278,4387,529,234,126,0.44234404536862004,0.2381852551984877,3883,487,216,124,0.44353182751540043,0.2546201232032854,2526,2369,0.93784639746635,2602,2218,0.8524212144504227,2694,2547,0.9454342984409799,0.007587900974629913,52.2,19.9,15.1,11.5,80.1,10742,10643,6673,6172,4069,4471,3979,4382,0.3704151927015453,0.4117260171004416,0.04131082439889627,2918,502,2926,495,-7,4.290599090428572,0.8628992052857143,0.3477102446680209
48009,Archer County,0.57,0.57,0.609090909,1650,2655,0.4457,0.4696,0.557070919,4766,2111,0.1114,0.0875,0.88,0.24,Texas,8750,0.45714286,0.754285693,0.834285736,2.095886707,1.685804963,2.06968832,2.06968832,0.184069261,0.171428576,0.22857143,0.982843805,0.452056348,0.955704134,0.951827038,0.685714304,1.131428599,0.491428554,8.2514286040000009,12.69999981,7.099999905,4,13.600000380000001,5.900000095,1.100000024,5.199999809,6.099999905,24.700000760000002,4.900000095,4.5,70,31,90.09999847,21.799999239999998,14.70000076,26.89999962,25.19999886,2.171428502,45.54987335,53.47862625,-7.928752899,61622,62407,785,3,-11,0.4106497740033146,0.4386807650652369,0.5215627026805584,0.5030964200608267,0.7,1531,192,186,155,0.96875,0.8072916666666666,1109,213,68,43,0.3192488262910798,0.20187793427230047,1270,215,70,42,0.32558139534883723,0.19534883720930232,876,809,0.9235159817351598,908,780,0.8590308370044053,943,899,0.953340402969247,0.02982442123408724,55.7,24.8,10.7,7.4,75.2,4356,4938,2259,2131,2097,2807,1620,2314,0.371900826446281,0.4686107735925476,0.09670994714626663,1750,177,1192,195,18,1.4238260855714286,0.560928656,0.46849741545248413
48011,Armstrong County,0.63,0.64,-0.068143101,587,547,0.5307,0.5577,0.542120912,1009,462,0.0114,-0.0156,0.53,0.1,Texas,1913,1.411395669,1.150026083,2.718243599,2.101167202,2.023346424,2.023346186,2.062256813,0.357553571,0.470465243,0.470465243,0.599553809,0.505836546,0.548429089,0.548429042,0.731834829,1.202300072,0,12.70256233,10.30000019,15.80000019,3.9000000950000002,9.100000381,6.099999905,1.200000048,3.5,4.800000191,24,5,7.199999809,73.1,42.29999924,89.80000305,23.10000038,12.30000019,26.5,26.700000760000002,2.038682625,71.98210144,72.97021484,-0.988113403,61250,65000,3750,1.8,404,NA,NA,0,0.0741405250615955,0.731,233,33,31,29,0.9393939393939394,0.8787878787878788,263,44,10,6,0.22727272727272727,0.13636363636363635,268,49,13,9,0.2653061224489796,0.1836734693877551,151,139,0.9205298013245033,192,166,0.8645833333333334,200,185,0.925,0.004470198675496695,59.6,22.3,8.1,10.9,77.7,932,1084,425,492,507,592,275,355,0.29506437768240346,0.3274907749077491,0.03242639722534563,108,9,174,NA,NA,1.9271117108571427,0.5001046490000001,NA
48013,Atascosa County,0.52,0.51,0.325943143,5593,7416,0.363,0.3645,0.351986331,21069,13653,-0.011,-0.0125,0.94,0.12,Texas,47710,0.624607027,1.435757756,1.398029804,2.178094864,2.511939764,2.219525814,2.198810339,0.217759013,0.22846362,0.257807583,0.438546343,0.37071225,0.430919416,0.424563698,0.735694826,0.144623771,0.312303483,63.07692719,10.600000380000001,11.5,2.200000048,9.899999619,7.699999809,1.100000024,5.5,6.400000095,21.799999239999998,4.300000191,5.099999905,73.7,50.29999924,75.30000305,14.30000019,18.799999239999998,25.10000038,19.799999239999998,6.178998202,39.69623184,29.07298279,10.62324905,51168,53181,2013,6.1,-1812,0.2055881240362748,0.18218894931895965,0.14336487225423308,0.15373620581334185,0.737,9006,678,643,509,0.948377581120944,0.7507374631268436,10887,811,375,187,0.4623921085080148,0.23057953144266338,11918,830,379,181,0.4566265060240964,0.21807228915662652,3234,3140,0.9709338280766853,3511,3357,0.9561378524636855,3606,3206,0.8890737659456461,-0.08186006213103914,27.1,23.2,35.2,15.1,76.8,19574,22282,12995,14597,6579,7685,4783,5882,0.24435475630939002,0.26397989408491157,0.01962513777552155,8377,635,11197,791,156,1.7952521954285714,0.338395989,0.17121953785570238
48015,Austin County,0.52,0.52,0.292842459,5351,6918,0.3812,0.3447,0.38403464,18014,11096,0.0028,0.0393,0.53,0.14,Texas,29107,2.683203459,3.452777624,6.383344173,3.701699257,6.246064186,3.755817652,3.734170437,0.658310294,0.711169124,1.374239922,0.883268751,1.449101448,0.845141988,0.841964781,8.479060173,0.027484799,0.051533997,25.50245476,6,9.600000381,3.5999999049999998,13.399999619999999,7.400000095,1.5,4.699999809,7.5,18.89999962,4.599999905,3.700000048,70.9,45.5,82.40000153,21,16.39999962,25.299999239999998,25,10.65723002,45.32004166,60.79428101,-15.47423935,50748,56681,5933,5.4,38,0.06824937723369695,0.07631834332319531,0.11000187151572638,0.1665188263415514,0.7090000000000001,8384,583,552,420,0.9468267581475128,0.7204116638078902,7342,655,271,121,0.41374045801526715,0.18473282442748093,7572,684,287,135,0.4195906432748538,0.19736842105263158,2624,2264,0.8628048780487805,3138,2556,0.8145315487571702,3212,3103,0.9660647571606475,0.10325987911186707,37.6,27.6,18.4,16.5,72.4,17866,18704,11171,11344,6695,7360,4795,5453,0.2683868801074667,0.29154191616766467,0.023155036060197975,7348,664,5695,571,-93,4.279582398285714,0.9661709011428571,0.10527210460354251
48017,Bailey County,0.59,0.59,-0.138099106,1231,1061,0.3251,0.2655,0.300141443,3535,2474,-0.025,0.0346,0.74,0.09,Texas,7131,0.476791471,1.065769196,1.051745892,1.122964621,1.310125351,1.141680717,1.141680717,0.238395765,0.238395751,0.16827935,0.420975545,0.318173319,0.411823904,0.375217362,2.131538391,0.042069837,0.490814775,61.71644974,18.700000760000002,10.399999619999999,4.099999905,11.19999981,11.30000019,0.300000012,2.799999952,5.099999905,16.299999239999998,5.900000095,2.200000048,56.5,49.29999924,67.59999847,10.69999981,15.40000057,22,19.10000038,20.69835961,10.03590012,30.3663063,-20.33040619,37655,40589,2934,2.2,610,0.15091166642978954,0.11929038348265214,0.024629349848804143,0.148281050123191,0.565,1467,159,156,126,0.9811320754716981,0.7924528301886793,1423,152,61,25,0.40131578947368424,0.16447368421052633,1376,144,64,32,0.4444444444444444,0.2222222222222222,374,312,0.8342245989304813,404,358,0.8861386138613861,413,365,0.8837772397094431,0.04955264077896182,53.4,31.2,12,2.1,68.8,3513,3476,2537,2471,976,1005,592,607,0.1685169370908056,0.17462600690448793,0.0061090698136823385,1750,103,704,112,9,1.0443939949999999,0.3101801422857143,0.11077811247110922
48019,Bandera County,0.54,0.54,0.286804182,3539,4554,0.5606,0.5746,0.558430411,8155,3601,-0.0022,-0.0162,0.34,0.35,Texas,21015,2.0128479,4.487270832,4.292172432,5.542804718,6.506092072,5.491163731,5.456736088,0.907555938,0.937425613,0.851772547,1.507734042,1.463425398,1.484750398,1.454871427,0.675707817,0.504401624,0.190340236,17.69212532,5.599999905,10.30000019,2.200000048,10.19999981,2.9000000950000002,2.299999952,6.199999809,6.699999809,25.700000760000002,7.199999809,6.5,71.8,51.70000076,86.80000305,24,12.29999924,25.10000038,34.09999847,4.425410554,46.15829849,24.58950043,21.56879807,54455,55434,979,5.7,-37,0.3223042018750505,0.3076720297968856,0.29160565547990663,0.405674571091749,0.718,2812,357,351,310,0.9831932773109243,0.8683473389355743,3198,399,133,78,0.3333333333333333,0.19548872180451127,3045,381,135,77,0.3543307086614173,0.2020997375328084,2043,1820,0.8908467939304944,2420,2341,0.9673553719008264,2548,2284,0.8963893249607535,0.005542531030259146,32.4,20.5,19.4,26,79.5,7681,8708,3309,3764,4372,4944,3502,4062,0.4559302174196068,0.4664676159853009,0.010537398565694078,1594,284,3514,435,151,4.827012539000001,1.229647909,0.33181411456089793
