cbsa,city, population ,venturedensitymay18,venturedensitynov18,venturedensityfeb19,venturedensitymay19,venturedensitysep19,venturedensityoct19,venturedensitynov19,venturedensitydec19,highlyactive_vdmay18,highlyactive_vdnov18,highlyactive_vdfeb19,highlyactive_vdmay19,highlyactive_vdsep19,highlyactive_vdoct19,highlyactive_vdnov19,highlyactive_vddec19,age18to24,age25to44,age45to54,age55to64,age65to74,age75over,pctpoverty,pctblack,pctasian,pctnatandpacific,pcthispanic,pctforeignborn,pctagriculture,pctconstruction,pctmanufacturing,pctwholesale,pctretail,pcttransportation,pctinformation_technology,pctfinance,pctprofessional,pcteducation,pctentertainment,pctpublic,pctbroadband,pctbroadband_poorpeople,pcths,pctcollege,prosperityindex2016,prosperityindex2007,change_prosperity,medinc2016,medinc2017,change_medianincome,smallbusiness_per_100
10100,"Aberdeen, SD Micro Area"," 42,608 ",1.5860219,1.555650592,1.610700607,1.550078154,1.531728625,1.543425403,1.595893383,1.59753871,0.297790438,0.348793212,0.327404946,0.325982094,0.352083705,0.344277017,0.350438477,0.350438454,10,24,12.4,13.2,8.2,8.4,10.5,1.5,2.3,3.099999905,2.4,3.468832016,5.874076843,6.54678154,13.02761173,3.214034557,14.28508663,3.979071379,1.833450556,5.900457382,5.144213676,23.71174812,7.487689018,4.093387127,75.06003571,45.40000153,31.2,19.9,68.9837982,82.26913956,-13.41887818,53682,54533,851,10.1685851
10140,"Aberdeen, WA Micro Area"," 71,454 ",3.223595858,3.463523865,3.33352375,3.276418447,3.25785923,3.267852576,3.294977665,3.289267063,0.649573147,0.698112712,0.715244234,0.713816643,0.730948243,0.720954803,0.695257401,0.70239557,7.4,23.2,13.1,15.8,11.9,7.6,16,1,1.6,5,9.8,5.389481544,5.191115856,6.460300922,10.30844116,2.38710165,12.03143406,5.272284508,1.106847644,4.431080341,5.781434536,22.45793915,10.478158,10.05017662,78.12611389,53.20000076,33.3,10.1,30.19090215,24.70406934,5.010265084,44521,45483,962,7.011950918
10180,"Abilene, TX Metro Area"," 169,000 ",1.914480448,2.010670185,2.008873701,1.994735599,2.015111208,2.227649719,2.018853664,2.006794691,0.38672173,0.423314733,0.444937885,0.462402761,0.510638999,0.535483867,0.491926679,0.493589975,13.2,25.9,11.4,11.2,7.9,6.6,16,8,1.6,0.800000012,23,4.96331358,3.256361485,6.728992462,5.395786762,2.157219648,12.97890663,5.53951025,1.18537581,6.629070282,5.792737007,27.70987129,9.46931839,7.206701756,69.51747131,41.79999924,32.1,14.7,30.42162987,37.6436327,-7.22270237,46473,48156,1683,5.456450375
10220,"Ada, OK Micro Area"," 38,289 ",1.934077978,1.886798501,2.090711117,2.080495596,2.094116211,2.070280597,2.083900928,2.082198381,0.308158547,0.333696513,0.367747188,0.355829477,0.347316824,0.333696528,0.328588951,0.316671189,11.6,25.4,11.7,11.6,8.7,7.2,17.3,2.2,0.8,8.899999619,5.1,2.582987309,4.750276089,6.33757782,6.959706783,2.314088106,11.59369755,3.256003141,1.354729891,5.407290936,7.163207054,28.87958527,6.680621147,10.30873871,63.96775055,42.09999847,33.5,17.5,28.73265536,46.99761602,-18.26496063,44041,46689,2648,7.672807955
10300,"Adrian, MI Micro Area"," 98,585 ",4.283257961,4.293354511,4.450338364,4.54766655,4.559832573,4.698525406,4.705014229,4.703392029,1.036546826,0.95887629,0.926241338,0.924619198,0.963550527,0.914886371,0.930296723,0.958684087,9.5,23.3,13.8,14.4,10.2,7,13.7,2.7,0.3,0.600000024,7.8,1.82279253,2.184646606,5.546161652,20.96268654,1.654830337,11.31552219,3.692932129,1.156577587,4.360275269,6.984556198,25.36805344,7.778153419,3.834967852,76.88049316,55.79999924,36.9,13.4,55.39401695,50.74706788,4.646949068,49300,51339,2039,5.781675016
10420,"Akron, OH Metro Area"," 703,398 ",3.993564129,4.072329044,4.201747894,4.157429218,4.167869091,4.180970351,4.195095062,4.18445015,0.855763733,0.891279796,0.91666311,0.917379558,0.964051951,0.931913509,0.943376962,0.948392134,10.7,24,13.9,14.3,9.2,7,13.8,12.1,2.7,0.200000003,1.9,4.644738674,0.541248143,4.961392879,15.91494942,3.307017326,12.57007599,4.697559834,1.864170671,5.912406445,9.723683357,23.39041519,9.599135399,2.855929136,77.49492645,53.09999847,32.6,19.6,58.99481177,60.83323432,-1.838422544,51749,53418,1669,6.962116651
10460,"Alamogordo, NM Micro Area"," 65,130 ",2.28852725,2.559762955,2.353812933,2.360871077,2.332639217,2.304407662,2.323817015,2.325581551,0.56110388,0.568161747,0.584042072,0.635211885,0.631682947,0.594628928,0.606980268,0.612273719,11.2,25.2,11.5,12.1,9.3,7.1,21.4,3.4,1.3,6.900000095,37.5,11.99140167,2.640570402,8.179018974,2.007845879,0.982832074,12.89492512,3.716202021,1.383557558,4.437508106,8.402581215,23.67233276,13.49390507,13.85244846,72.89174652,45.79999924,28.8,10.2,22.22549925,39.99716953,-17.7716703,41502,43533,2031,4.467769531
10500,"Albany, GA Metro Area"," 153,776 ",1.069945455,0.976918399,1.124914408,1.120304108,1.116048455,1.117112373,1.121013403,1.122786641,0.222003922,0.23113548,0.230515257,0.23299773,0.244346168,0.228742062,0.227678148,0.236898754,10.3,25.2,12.5,12.8,8.6,5.8,25.7,52.8,1,0.200000003,2.6,2.527052402,3.430695295,5.131241322,11.64725971,2.759686947,11.60614395,4.573712349,1.174264908,4.295770168,8.024143219,26.07229805,7.509374619,8.798763275,70.25882721,48.79999924,30.8,11.2,24.95145211,24.34711737,0.604334769,38674,40612,1938,5.491957883
10540,"Albany, OR Metro Area"," 121,074 ",3.385234833,3.490268469,3.492617369,3.555033445,3.598657608,3.5845637,3.593959808,3.584563732,0.710067093,0.760402608,0.767114103,0.777181208,0.832214765,0.801342269,0.802684575,0.803355686,8.1,24.8,12.6,13.8,10.4,7.2,16.1,0.4,1.2,1.100000024,8.7,4.068586349,4.622251987,7.257385731,14.42079926,2.639049292,12.91137218,5.166506767,0.984749138,3.903756857,6.713130474,24.1371212,7.558879375,4.990309238,78.26218414,54.29999924,30.2,13,54.69704421,51.2557024,3.441341812,46782,49515,2733,6.605581092
10580,"Albany-Schenectady-Troy, NY Metro Area"," 881,862 ",3.761324883,3.735748053,3.957742214,3.948895454,3.936378002,3.928942846,3.962730169,3.93684864,0.851051807,0.880356221,0.914049089,0.909813881,0.956965704,0.914519653,0.922707748,0.919319503,11.3,24.6,14.2,13.7,9.2,6.9,11,7.8,4.3,0.200000003,4.9,7.316904545,0.622233629,5.502970219,7.38341856,2.081924915,11.34353828,3.961246252,1.950987577,6.793186665,10.995574,26.72697449,8.583714485,9.628733635,81.71473694,55.40000153,26.8,20,60.4750794,69.72985831,-9.249739382,63758,65743,1985,7.417893064
10620,"Albemarle, NC Micro Area"," 60,875 ",2.41499877,2.656521797,2.647321939,3.028331757,3.312927485,3.334998335,3.372169971,3.386109352,0.498333097,0.518080541,0.514595687,0.525050223,0.566868391,0.528535081,0.525050238,0.518080546,8.7,23.6,14.4,13.5,10.8,7.3,15.7,11.1,1.9,0.300000012,4,3.024230003,2.975910902,8.750767708,15.18653584,2.029686928,11.79168606,3.857127428,0.827043235,4.333850861,6.327422619,25.35302734,6.970276833,5.699014187,72.66020966,48.09999847,33.9,12,39.89128329,31.99012129,7.901162004,44140,46017,1877,6.611387377
10660,"Albert Lea, MN Micro Area"," 30,619 ",2.337436199,2.285838604,2.372959614,2.385392904,2.40670681,2.364078857,2.356974125,2.362302542,0.580806732,0.595016086,0.61277771,0.577254415,0.657181907,0.591463748,0.598568423,0.619882438,6.7,22,13.2,14.5,11,10.7,11.8,1.3,1.9,0.300000012,9.5,3.925667048,4.797748566,6.381725311,20.15970612,2.480691195,12.25291252,4.568660736,1.557795525,4.444299221,4.948291779,22.83021355,7.383165359,2.965047836,73.08998108,44,36.8,12.1,44.23636454,56.37702403,-12.24401358,48827,51174,2347,7.673042729
10700,"Albertville, AL Micro Area"," 94,738 ",1.810904384,1.810069799,1.912185311,1.942164421,1.981056333,1.981056401,1.976194859,1.976194978,0.380816579,0.38729855,0.410795748,0.44968766,0.465082331,0.443205668,0.44806716,0.445636408,8.4,24.7,13,12.4,9.9,6.7,21,2.2,0.6,0.800000012,13.3,7.1555233,2.504160643,8.52922821,21.59350967,2.275327682,12.64041996,4.841897011,1.245579362,3.853754997,7.572290421,18.37944603,6.995007515,4.033180714,70.20642853,50.70000076,31.3,11.6,21.70683323,24.45461708,-2.780240728,39831,41104,1273,4.878211475
10740,"Albuquerque, NM Metro Area"," 905,049 ",2.538227558,2.477689743,2.657560587,2.695436478,2.699615479,2.686879639,2.704656839,2.70963192,0.560114861,0.57047745,0.568207443,0.561375141,0.595138595,0.560977165,0.570396427,0.572983408,9.2,26.7,12.9,13.1,9,6,17.9,2.6,2.1,5.900000095,48.5,9.452305794,1.07504952,6.823960781,4.952205181,2.22723937,11.48332787,3.759725332,1.918924212,5.515524864,13.41453552,25.71323967,10.9946909,6.680735111,74.88035583,51.59999847,24.5,17.5,50.95609415,53.076445,-2.112008663,49711,50781,1070,5.843330332
10760,"Alexander City, AL Micro Area"," 40,756 ",2.301695347,2.327029705,2.32869482,2.299445391,2.290445566,2.269071153,2.255571365,2.235321999,0.431989759,0.505113042,0.498363167,0.456739157,0.496113207,0.482613536,0.471363822,0.471363822,8.5,21.5,13.6,15.2,12.1,7.8,21.2,27.5,0.4,0.400000006,2.4,1.464815021,1.834562898,7.880133152,23.29437828,2.441731453,9.427433968,5.33394289,0.953189254,4.354638577,6.104328632,23.69915771,6.195730209,4.459097862,67.86608887,45.70000076,34,12.1,22.57816735,21.20117457,1.37699278,39395,42181,2786,5.222126002
10780,"Alexandria, LA Metro Area"," 154,385 ",0.956296146,0.965393245,1.049310446,1.045252562,0.995840907,1.029697229,0.985426903,0.982172489,0.186507046,0.191637805,0.205601275,0.208644718,0.212511164,0.209321044,0.2043752,0.2043752,9,25.9,13,12.6,8.7,6.3,19.6,29.6,1.4,0.699999988,3.3,2.983450413,3.517678976,6.591939449,7.963405609,1.97313118,11.03766632,5.215528011,1.2659688,3.979230165,6.887002468,29.24256134,8.868375778,7.996373653,70.68332672,43.59999847,37.9,11.8,24.68060809,32.2810649,-7.600456803,41836,42275,439,6.491123629
10820,"Alexandria, MN Micro Area"," 36,891 ",4.524693012,4.479208469,4.781615734,4.893424511,4.814920425,4.807783794,4.850604534,4.819678307,1.422590137,1.45589489,1.467789531,1.493957639,1.572461613,1.524883454,1.448758226,1.43686356,7.3,22.1,12.5,15.1,11.6,10,8.4,0.7,0.1,0.400000006,1.5,1.122224927,2.583817244,7.882211208,15.47675133,3.216695547,12.94000721,3.598514557,1.53773737,6.177101135,7.442857742,23.84539032,7.688686848,3.164391518,75.2024765,46.59999847,29.5,17.8,72.70454503,71.73366031,1.023563837,56347,58667,2320,11.24987887
10860,"Alice, TX Micro Area"," 41,318 ",0.87237978,0.935249686,0.907829881,0.937114656,0.917077661,0.917077671,0.915536404,0.910912454,0.129469797,0.13717635,0.158754632,0.147965476,0.169543771,0.160295936,0.152589392,0.146424165,9.5,25,11.7,11.3,8.1,6.2,23,0.6,0.6,0.300000012,80.2,6.08693552,20.78982925,7.52978754,5.23277235,0.626458645,9.403021812,4.925684929,0.245670065,2.948040724,6.762068748,23.47377396,7.155140877,4.293084621,53.07771301,25.39999962,36.3,8.7,13.34135623,24.0600353,-10.66488041,43321,41103,-2218,5.513402268
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area"," 832,790 ",4.458940506,4.452877522,4.587007046,4.652935505,4.615666866,4.620644381,4.695547104,4.639043808,1.05743885,1.082425981,1.1189152,1.12305367,1.162355579,1.098835434,1.1125613,1.111827418,9.3,24,14.5,13.9,9.3,7.6,11.1,5.6,2.8,0.200000003,15.8,8.635910988,0.76838398,5.667906761,14.09531212,3.255864143,11.94595051,6.151740551,2.077610016,5.682896137,9.883575439,24.5170269,8.532084465,3.074273109,79.07319641,49.29999924,34.5,17.7,62.58945295,65.9797038,-3.388260431,60441,62479,2038,6.761138493
10940,"Alma, MI Micro Area"," 41,319 ",2.035567284,2.12213397,1.921410561,1.826509118,2.100210428,1.797075113,2.001182795,1.924161315,0.462128818,0.435996546,0.440122694,0.419491947,0.488261087,0.429645541,0.463504205,0.459378026,11.6,25.3,13.6,12.7,8.6,7.7,20.5,5.8,0.3,0.400000006,5.8,1.127810478,4.765030384,5.270411968,17.01890182,1.483328938,8.125492096,4.824100971,1.063271165,3.517983675,5.546074867,29.4565506,7.83013916,6.556838989,66.65309143,45.90000153,41.1,8.8,44.0022624,41.26358736,2.738675025,42145,42256,111,5.04420376
10980,"Alpena, MI Micro Area"," 28,730 ",1.996907115,1.749445319,2.097761154,2.070866585,2.114569902,2.107846391,2.114570141,2.107846498,0.534525692,0.537887498,0.595037997,0.558058262,0.60512335,0.564781832,0.581590785,0.59839976,7.4,20.7,14,16.7,11.9,10.1,15,0.6,0.5,0.5,1.3,1.169509292,2.90564537,5.756020546,11.76470566,2.345045328,14.97828674,4.579549789,1.587050915,4.595341682,5.984998226,26.83774185,9.095933914,4.026845455,70.42771149,48.90000153,33.9,11.1,40.14131141,31.39126045,8.750050968,39832,40954,1122,7.856518821
11020,"Altoona, PA Metro Area"," 124,736 ",2.524483442,2.567470074,2.791576862,2.825124741,2.893511057,2.905911308,2.916736603,2.925123453,0.643862665,0.654185167,0.718700409,0.721280992,0.760635315,0.727284451,0.704507064,0.738700153,8.5,23.3,13.4,14.7,10.4,9,15.2,1.5,0.7,0,1.2,1.160851717,1.660871506,6.022203922,11.2695694,3.590024233,14.70780277,6.894117355,1.560266137,3.898900509,6.964717388,25.31196404,9.575162888,3.847715139,72.34788513,45.5,46.2,14,45.5843153,54.69535253,-9.111037232,44033,45664,1631,7.145179134
11060,"Altus, OK Micro Area"," 25,574 ",0.895140648,1.044089794,0.922940016,0.857541919,0.847881675,0.849162042,0.842321813,0.839541852,0.130657181,0.116757492,0.119537421,0.125698328,0.136217056,0.128491618,0.138996996,0.130657188,10.6,26.7,11.2,11.5,7.9,6.3,18,7.3,1.4,1.899999976,23.3,6.94846344,6.814773083,6.411698341,8.052118301,1.434195757,13.72328472,2.755905628,0.928008974,4.058867455,4.265091896,21.9722538,8.267716408,16.76040459,74.02088928,49.29999924,26.7,13.1,22.77508033,38.68951844,-16.31564439,44331,45189,858,6.333894672
11100,"Amarillo, TX Metro Area"," 261,827 ",2.521692514,2.663407087,2.71462512,2.757315159,2.773861647,2.764595733,2.78014946,2.77684021,0.549345076,0.565891642,0.583100021,0.596999109,0.627113832,0.594020748,0.600308413,0.599646568,9.7,27.5,12.1,11.8,7.4,5.6,15,6,3.2,0.600000024,27.9,9.40391922,2.865885973,7.67565918,9.110584259,3.363749504,12.12551212,5.918074608,1.269234776,6.008450985,7.881781101,23.23547745,9.866892815,4.652803421,75.85755157,52.79999924,26.2,15.9,46.64823159,58.33423568,-11.88822605,51672,53665,1993,7.694441583
11140,"Americus, GA Micro Area"," 35,855 ",1.170697689,1.309089065,1.218023777,1.225496292,1.235459685,1.21802375,1.235459685,1.235459685,0.25157547,0.281465617,0.28146562,0.269011378,0.278974767,0.266520537,0.266520539,0.27150223,13.3,22.9,12.4,12,9.4,6.2,31.7,48.9,1,0.100000001,5.3,2.945195913,5.47662878,4.821494102,15.2815609,2.598454237,10.38645554,4.475524426,1.435406685,4.107471466,6.742731094,28.35480309,5.79315424,6.440927505,67.10640717,50.59999847,33.8,8.7,11.30390861,10.92242724,0.381481439,35153,35189,36,5.392682026
