FIPS2010,County Name,IRR2010
1001,"Autauga County, Alabama",0.48
1003,"Baldwin County, Alabama",0.44
1005,"Barbour County, Alabama",0.53
1007,"Bibb County, Alabama",0.53
1009,"Blount County, Alabama",0.49
1011,"Bullock County, Alabama",0.55
1013,"Butler County, Alabama",0.54
1015,"Calhoun County, Alabama",0.42
1017,"Chambers County, Alabama",0.5
1019,"Cherokee County, Alabama",0.51
1021,"Chilton County, Alabama",0.5
1023,"Choctaw County, Alabama",0.57
1025,"Clarke County, Alabama",0.54
1027,"Clay County, Alabama",0.55
1029,"Cleburne County, Alabama",0.54
1031,"Coffee County, Alabama",0.49
1033,"Colbert County, Alabama",0.47
1035,"Conecuh County, Alabama",0.56
1037,"Coosa County, Alabama",0.55
1039,"Covington County, Alabama",0.52
1041,"Crenshaw County, Alabama",0.55
1043,"Cullman County, Alabama",0.47
1045,"Dale County, Alabama",0.48
1047,"Dallas County, Alabama",0.51
1049,"DeKalb County, Alabama",0.48
1051,"Elmore County, Alabama",0.46
1053,"Escambia County, Alabama",0.51
1055,"Etowah County, Alabama",0.42
1057,"Fayette County, Alabama",0.54
1059,"Franklin County, Alabama",0.51
1061,"Geneva County, Alabama",0.52
1063,"Greene County, Alabama",0.57
1065,"Hale County, Alabama",0.54
1067,"Henry County, Alabama",0.53
1069,"Houston County, Alabama",0.44
1071,"Jackson County, Alabama",0.5
1073,"Jefferson County, Alabama",0.31
1075,"Lamar County, Alabama",0.55
1077,"Lauderdale County, Alabama",0.45
1079,"Lawrence County, Alabama",0.51
1081,"Lee County, Alabama",0.41
1083,"Limestone County, Alabama",0.45
1085,"Lowndes County, Alabama",0.56
1087,"Macon County, Alabama",0.52
1089,"Madison County, Alabama",0.35
1091,"Marengo County, Alabama",0.55
1093,"Marion County, Alabama",0.52
1095,"Marshall County, Alabama",0.45
1097,"Mobile County, Alabama",0.37
1099,"Monroe County, Alabama",0.54
1101,"Montgomery County, Alabama",0.4
1103,"Morgan County, Alabama",0.43
1105,"Perry County, Alabama",0.56
1107,"Pickens County, Alabama",0.54
1109,"Pike County, Alabama",0.51
1111,"Randolph County, Alabama",0.53
1113,"Russell County, Alabama",0.48
1115,"St. Clair County, Alabama",0.47
1117,"Shelby County, Alabama",0.4
1119,"Sumter County, Alabama",0.56
1121,"Talladega County, Alabama",0.46
1123,"Tallapoosa County, Alabama",0.5
1125,"Tuscaloosa County, Alabama",0.43
1127,"Walker County, Alabama",0.48
1129,"Washington County, Alabama",0.55
1131,"Wilcox County, Alabama",0.57
1133,"Winston County, Alabama",0.53
2013,"Aleutians East Borough, Alaska",0.8
2016,"Aleutians West Census Area, Alaska",0.82
2020,"Anchorage Municipality, Alaska",0.42
2050,"Bethel Census Area, Alaska",0.82
2060,"Bristol Bay Borough, Alaska",0.78
2068,"Denali Borough, Alaska",0.73
2070,"Dillingham Census Area, Alaska",0.8
2090,"Fairbanks North Star Borough, Alaska",0.51
2100,"Haines Borough, Alaska",0.76
2105,"Hoonah-Angoon Census Area, Alaska",0.77
2110,"Juneau City and Borough, Alaska",0.69
2122,"Kenai Peninsula Borough, Alaska",0.58
2130,"Ketchikan Gateway Borough, Alaska",0.78
2150,"Kodiak Island Borough, Alaska",0.67
2164,"Lake and Peninsula Borough, Alaska",0.8
2170,"Matanuska-Susitna Borough, Alaska",0.56
2180,"Nome Census Area, Alaska",0.85
2185,"North Slope Borough, Alaska",0.78
2188,"Northwest Arctic Borough, Alaska",0.89
2195,"Petersburg Census Area, Alaska",0.8
2198,"Prince of Wales-Hyder Census Area, Alaska",0.81
2220,"Sitka City and Borough, Alaska",0.76
2230,"Skagway Municipality, Alaska",0.78
2240,"Southeast Fairbanks Census Area, Alaska",0.68
2261,"Valdez-Cordova Census Area, Alaska",0.68
2270,"Wade Hampton Census Area, Alaska",0.85
2275,"Wrangell City and Borough, Alaska",0.83
2282,"Yakutat City and Borough, Alaska",0.81
2290,"Yukon-Koyukuk Census Area, Alaska",0.74
4001,"Apache County, Arizona",0.56
4003,"Cochise County, Arizona",0.49
4005,"Coconino County, Arizona",0.51
4007,"Gila County, Arizona",0.54
4009,"Graham County, Arizona",0.56
4011,"Greenlee County, Arizona",0.61
4012,"La Paz County, Arizona",0.58
4013,"Maricopa County, Arizona",0.33
4015,"Mohave County, Arizona",0.49
4017,"Navajo County, Arizona",0.54
4019,"Pima County, Arizona",0.41
4021,"Pinal County, Arizona",0.44
4023,"Santa Cruz County, Arizona",0.52
4025,"Yavapai County, Arizona",0.48
4027,"Yuma County, Arizona",0.47
5001,"Arkansas County, Arkansas",0.55
5003,"Ashley County, Arkansas",0.54
5005,"Baxter County, Arkansas",0.51
5007,"Benton County, Arkansas",0.4
5009,"Boone County, Arkansas",0.51
5011,"Bradley County, Arkansas",0.56
5013,"Calhoun County, Arkansas",0.59
5015,"Carroll County, Arkansas",0.52
5017,"Chicot County, Arkansas",0.56
5019,"Clark County, Arkansas",0.53
5021,"Clay County, Arkansas",0.54
5023,"Cleburne County, Arkansas",0.53
5025,"Cleveland County, Arkansas",0.56
5027,"Columbia County, Arkansas",0.53
5029,"Conway County, Arkansas",0.53
5031,"Craighead County, Arkansas",0.45
5033,"Crawford County, Arkansas",0.47
5035,"Crittenden County, Arkansas",0.48
5037,"Cross County, Arkansas",0.53
5039,"Dallas County, Arkansas",0.57
5041,"Desha County, Arkansas",0.56
5043,"Drew County, Arkansas",0.54
5045,"Faulkner County, Arkansas",0.45
5047,"Franklin County, Arkansas",0.53
5049,"Fulton County, Arkansas",0.56
5051,"Garland County, Arkansas",0.44
5053,"Grant County, Arkansas",0.53
5055,"Greene County, Arkansas",0.49
5057,"Hempstead County, Arkansas",0.53
5059,"Hot Spring County, Arkansas",0.51
5061,"Howard County, Arkansas",0.55
5063,"Independence County, Arkansas",0.52
5065,"Izard County, Arkansas",0.56
5067,"Jackson County, Arkansas",0.54
5069,"Jefferson County, Arkansas",0.47
5071,"Johnson County, Arkansas",0.53
5073,"Lafayette County, Arkansas",0.57
5075,"Lawrence County, Arkansas",0.53
5077,"Lee County, Arkansas",0.56
5079,"Lincoln County, Arkansas",0.54
5081,"Little River County, Arkansas",0.54
5083,"Logan County, Arkansas",0.53
5085,"Lonoke County, Arkansas",0.47
5087,"Madison County, Arkansas",0.55
5089,"Marion County, Arkansas",0.56
5091,"Miller County, Arkansas",0.49
5093,"Mississippi County, Arkansas",0.5
5095,"Monroe County, Arkansas",0.57
5097,"Montgomery County, Arkansas",0.57
5099,"Nevada County, Arkansas",0.57
5101,"Newton County, Arkansas",0.58
5103,"Ouachita County, Arkansas",0.53
5105,"Perry County, Arkansas",0.56
5107,"Phillips County, Arkansas",0.54
5109,"Pike County, Arkansas",0.56
5111,"Poinsett County, Arkansas",0.52
5113,"Polk County, Arkansas",0.54
5115,"Pope County, Arkansas",0.5
5117,"Prairie County, Arkansas",0.56
5119,"Pulaski County, Arkansas",0.35
5121,"Randolph County, Arkansas",0.54
5123,"St. Francis County, Arkansas",0.52
5125,"Saline County, Arkansas",0.44
5127,"Scott County, Arkansas",0.56
5129,"Searcy County, Arkansas",0.58
5131,"Sebastian County, Arkansas",0.42
5133,"Sevier County, Arkansas",0.54
5135,"Sharp County, Arkansas",0.54
5137,"Stone County, Arkansas",0.57
5139,"Union County, Arkansas",0.52
5141,"Van Buren County, Arkansas",0.55
5143,"Washington County, Arkansas",0.42
5145,"White County, Arkansas",0.48
5147,"Woodruff County, Arkansas",0.58
5149,"Yell County, Arkansas",0.54
6001,"Alameda County, California",0.26
6003,"Alpine County, California",0.65
6005,"Amador County, California",0.5
6007,"Butte County, California",0.43
6009,"Calaveras County, California",0.51
6011,"Colusa County, California",0.54
6013,"Contra Costa County, California",0.27
6015,"Del Norte County, California",0.53
6017,"El Dorado County, California",0.44
6019,"Fresno County, California",0.4
6021,"Glenn County, California",0.53
6023,"Humboldt County, California",0.51
6025,"Imperial County, California",0.47
6027,"Inyo County, California",0.62
6029,"Kern County, California",0.42
6031,"Kings County, California",0.45
6033,"Lake County, California",0.5
6035,"Lassen County, California",0.56
6037,"Los Angeles County, California",0.22
6039,"Madera County, California",0.46
6041,"Marin County, California",0.38
6043,"Mariposa County, California",0.55
6045,"Mendocino County, California",0.52
6047,"Merced County, California",0.44
6049,"Modoc County, California",0.61
6051,"Mono County, California",0.59
6053,"Monterey County, California",0.43
6055,"Napa County, California",0.44
6057,"Nevada County, California",0.46
6059,"Orange County, California",0.16
6061,"Placer County, California",0.4
6063,"Plumas County, California",0.57
6065,"Riverside County, California",0.36
6067,"Sacramento County, California",0.28
6069,"San Benito County, California",0.5
6071,"San Bernardino County, California",0.4
6073,"San Diego County, California",0.31
6075,"San Francisco County, California",0.08
6077,"San Joaquin County, California",0.37
6079,"San Luis Obispo County, California",0.44
6081,"San Mateo County, California",0.3
6083,"Santa Barbara County, California",0.42
6085,"Santa Clara County, California",0.3
6087,"Santa Cruz County, California",0.37
6089,"Shasta County, California",0.47
6091,"Sierra County, California",0.61
6093,"Siskiyou County, California",0.56
6095,"Solano County, California",0.37
6097,"Sonoma County, California",0.39
6099,"Stanislaus County, California",0.39
6101,"Sutter County, California",0.45
6103,"Tehama County, California",0.52
6105,"Trinity County, California",0.59
6107,"Tulare County, California",0.43
6109,"Tuolumne County, California",0.52
6111,"Ventura County, California",0.37
6113,"Yolo County, California",0.44
6115,"Yuba County, California",0.47
8001,"Adams County, Colorado",0.38
8003,"Alamosa County, Colorado",0.56
8005,"Arapahoe County, Colorado",0.35
8007,"Archuleta County, Colorado",0.58
8009,"Baca County, Colorado",0.65
8011,"Bent County, Colorado",0.6
8013,"Boulder County, Colorado",0.39
8014,"Broomfield County, Colorado",0.25
8015,"Chaffee County, Colorado",0.56
8017,"Cheyenne County, Colorado",0.66
8019,"Clear Creek County, Colorado",0.56
8021,"Conejos County, Colorado",0.6
8023,"Costilla County, Colorado",0.63
8025,"Crowley County, Colorado",0.59
8027,"Custer County, Colorado",0.6
8029,"Delta County, Colorado",0.53
8031,"Denver County, Colorado",0.18
8033,"Dolores County, Colorado",0.65
8035,"Douglas County, Colorado",0.39
8037,"Eagle County, Colorado",0.52
8039,"Elbert County, Colorado",0.55
8041,"El Paso County, Colorado",0.39
8043,"Fremont County, Colorado",0.52
8045,"Garfield County, Colorado",0.53
8047,"Gilpin County, Colorado",0.56
8049,"Grand County, Colorado",0.58
8051,"Gunnison County, Colorado",0.59
8053,"Hinsdale County, Colorado",0.7
8055,"Huerfano County, Colorado",0.6
8057,"Jackson County, Colorado",0.66
8059,"Jefferson County, Colorado",0.35
8061,"Kiowa County, Colorado",0.67
8063,"Kit Carson County, Colorado",0.61
8065,"Lake County, Colorado",0.57
8067,"La Plata County, Colorado",0.52
8069,"Larimer County, Colorado",0.43
8071,"Las Animas County, Colorado",0.6
8073,"Lincoln County, Colorado",0.62
8075,"Logan County, Colorado",0.55
8077,"Mesa County, Colorado",0.47
8079,"Mineral County, Colorado",0.7
8081,"Moffat County, Colorado",0.62
8083,"Montezuma County, Colorado",0.55
8085,"Montrose County, Colorado",0.53
8087,"Morgan County, Colorado",0.54
8089,"Otero County, Colorado",0.55
8091,"Ouray County, Colorado",0.6
8093,"Park County, Colorado",0.57
8095,"Phillips County, Colorado",0.61
8097,"Pitkin County, Colorado",0.57
8099,"Prowers County, Colorado",0.59
8101,"Pueblo County, Colorado",0.46
8103,"Rio Blanco County, Colorado",0.63
8105,"Rio Grande County, Colorado",0.58
8107,"Routt County, Colorado",0.57
8109,"Saguache County, Colorado",0.63
8111,"San Juan County, Colorado",0.67
8113,"San Miguel County, Colorado",0.6
8115,"Sedgwick County, Colorado",0.63
8117,"Summit County, Colorado",0.52
8119,"Teller County, Colorado",0.52
8121,"Washington County, Colorado",0.62
8123,"Weld County, Colorado",0.45
8125,"Yuma County, Colorado",0.6
9001,"Fairfield County, Connecticut",0.2
9003,"Hartford County, Connecticut",0.22
9005,"Litchfield County, Connecticut",0.42
9007,"Middlesex County, Connecticut",0.36
9009,"New Haven County, Connecticut",0.19
9011,"New London County, Connecticut",0.36
9013,"Tolland County, Connecticut",0.38
9015,"Windham County, Connecticut",0.43
10001,"Kent County, Delaware",0.41
10003,"New Castle County, Delaware",0.26
10005,"Sussex County, Delaware",0.41
11001,"District of Columbia, District of Columbia",0.1
12001,"Alachua County, Florida",0.4
12003,"Baker County, Florida",0.52
12005,"Bay County, Florida",0.41
12007,"Bradford County, Florida",0.5
12009,"Brevard County, Florida",0.34
12011,"Broward County, Florida",0.28
12013,"Calhoun County, Florida",0.54
12015,"Charlotte County, Florida",0.4
12017,"Citrus County, Florida",0.4
12019,"Clay County, Florida",0.39
12021,"Collier County, Florida",0.41
12023,"Columbia County, Florida",0.48
