state,county_name,frac_under_25mbpsDL,samples,UL_3_state,UL_3_county_name,frac_under_3mbpsUL,UL_3_samples,DL_10_state,DL_10_county_name,frac_under_10mbpsDL,DL_10_samples,UL_1_state,UL_1_county_name,frac_under_1mbpsUL,UL_1_samples,DLmed_state,DLmed_county_name,DLmbps,ULmed_state,ULmed_county_name,ULmbps,ul_sample_size,ul_sample_state,ul_sample_county_name,dl_sample_size,dl_sample_state,dl_sample_county_name
MA,Plymouth,0.33810228580825524,6081,MA,Plymouth,0.11472046503675842,5849,MA,Plymouth,0.20095379049498438,6081,MA,Plymouth,0.051803727132843223,5849,MA,Plymouth,50.500426926156784,MA,Plymouth,11.194913271389996,473206,MA,Plymouth,473642,MA,Plymouth
VT,Washington,0.67312348668280875,1239,VT,Washington,0.54812398042414356,1226,VT,Washington,0.50201775625504441,1239,VT,Washington,0.43066884176182707,1226,VT,Washington,9.4492312340668221,VT,Washington,1.8535204781039891,114924,VT,Washington,117077,VT,Washington
VT,Chittenden,0.40756439517443754,3067,VT,Chittenden,0.21571194762684123,3055,VT,Chittenden,0.23214867949135964,3067,VT,Chittenden,0.13158756137479541,3055,VT,Chittenden,37.415864594351667,VT,Chittenden,5.7485733325783013,261295,VT,Chittenden,228860,VT,Chittenden
NH,Coos,0.71301775147928992,338,NH,Coos,0.34560906515580736,353,NH,Coos,0.53846153846153844,338,NH,Coos,0.24645892351274787,353,NH,Coos,9.2662522144481887,NH,Coos,7.8579075175781981,26233,NH,Coos,24284,NH,Coos
DE,Sussex,0.26348172276511039,2763,DE,Sussex,0.14280536426241391,2759,DE,Sussex,0.16141874773796597,2763,DE,Sussex,0.078289235230155851,2759,DE,Sussex,78.161249923494978,DE,Sussex,10.997094187067965,284548,DE,Sussex,397443,DE,Sussex
VT,Windsor,0.571157495256167,527,VT,Windsor,0.16936936936936936,555,VT,Windsor,0.31119544592030363,527,VT,Windsor,0.11171171171171171,555,VT,Windsor,15.097123713309266,VT,Windsor,28.755944318907339,63517,VT,Windsor,53273,VT,Windsor
MA,Dukes,0.36521739130434783,690,MA,Dukes,0.16804407713498623,726,MA,Dukes,0.28840579710144926,690,MA,Dukes,0.099173553719008267,726,MA,Dukes,57.005967000734451,MA,Dukes,11.518426522387259,74003,MA,Dukes,58476,MA,Dukes
VT,Orleans,0.49122807017543857,285,VT,Orleans,0.35616438356164382,292,VT,Orleans,0.36842105263157893,285,VT,Orleans,0.26027397260273971,292,VT,Orleans,24.6960978627019,VT,Orleans,5.69327353748959,20481,VT,Orleans,17855,VT,Orleans
MA,Nantucket,0.3504761904761905,525,MA,Nantucket,0.081415929203539822,565,MA,Nantucket,0.29904761904761906,525,MA,Nantucket,0.012389380530973451,565,MA,Nantucket,77.274424980589828,MA,Nantucket,10.720529798616759,52783,MA,Nantucket,39301,MA,Nantucket
CT,Hartford,0.46303771918758674,15854,CT,Hartford,0.26921042190186484,15122,CT,Hartford,0.28447079601362435,15854,CT,Hartford,0.11559317550588546,15122,CT,Hartford,28.058494603322856,CT,Hartford,5.8037370634486152,1246316,CT,Hartford,1360614,CT,Hartford
MA,Middlesex,0.3493397029349587,36423,MA,Middlesex,0.13904123213321587,35191,MA,Middlesex,0.21664882080004394,36423,MA,Middlesex,0.070699894859481111,35191,MA,Middlesex,49.453449806998428,MA,Middlesex,11.717254758186751,3412794,MA,Middlesex,3230396,MA,Middlesex
NH,Carroll,0.3827893175074184,1011,NH,Carroll,0.23570019723865879,1014,NH,Carroll,0.17804154302670624,1011,NH,Carroll,0.052268244575936887,1014,NH,Carroll,35.99565962434724,NH,Carroll,6.7356116998776709,93865,NH,Carroll,62483,NH,Carroll
RI,Washington,0.25116550116550118,1716,RI,Washington,0.1352549889135255,1804,RI,Washington,0.15209790209790211,1716,RI,Washington,0.0787139689578714,1804,RI,Washington,71.033896770101961,RI,Washington,18.532413626398622,159331,RI,Washington,138941,RI,Washington
DC,District of Columbia,0.48983721953365594,22730,DC,District of Columbia,0.27285668365706939,21777,DC,District of Columbia,0.33273207215134182,22730,DC,District of Columbia,0.15911282545805208,21777,DC,District of Columbia,25.028541778358854,DC,District of Columbia,6.1506291838672347,1939191,DC,District of Columbia,1784706,DC,District of Columbia
DE,Wicomico,0.0,5,DE,Wicomico,0.0,4,DE,Wicomico,0.0,5,DE,Wicomico,0.0,4,DE,Wicomico,298.55054023212654,DE,Wicomico,39.910278104994752,988,DE,Wicomico,724,DE,Wicomico
VT,Orange,0.55319148936170215,329,VT,Orange,0.20414201183431951,338,VT,Orange,0.35562310030395139,329,VT,Orange,0.14497041420118342,338,VT,Orange,21.021189249005584,VT,Orange,11.150637555033168,32946,VT,Orange,31282,VT,Orange
CT,Windham,0.42695473251028809,972,CT,Windham,0.20760869565217391,920,CT,Windham,0.23559670781893005,972,CT,Windham,0.13478260869565217,920,CT,Windham,32.391984465612758,CT,Windham,8.1237781230723911,97576,CT,Windham,115886,CT,Windham
HI,Kauai,0.51417525773195871,776,HI,Kauai,0.20270270270270271,888,HI,Kauai,0.34536082474226804,776,HI,Kauai,0.11486486486486487,888,HI,Kauai,22.034440977079246,HI,Kauai,6.7341325134447318,67854,HI,Kauai,45824,HI,Kauai
VT,Bennington,0.44477172312223856,679,VT,Bennington,0.29275362318840581,690,VT,Bennington,0.33873343151693669,679,VT,Bennington,0.23478260869565218,690,VT,Bennington,29.656005296804317,VT,Bennington,5.6791900418179164,44168,VT,Bennington,34842,VT,Bennington
MA,Norfolk,0.33139401362627269,13063,MA,Norfolk,0.12216446124763705,12696,MA,Norfolk,0.2041644338972671,13063,MA,Norfolk,0.062145557655954628,12696,MA,Norfolk,54.581868256344428,MA,Norfolk,11.518805204827663,1147168,MA,Norfolk,1039849,MA,Norfolk
HI,Hawaii,0.54971240755957274,2434,HI,Hawaii,0.27912087912087913,2730,HI,Hawaii,0.37633525061626949,2434,HI,Hawaii,0.15384615384615385,2730,HI,Hawaii,18.274740481649609,HI,Hawaii,5.67008226655789,209937,HI,Hawaii,148770,HI,Hawaii
CT,Fairfield,0.28868360277136257,19918,CT,Fairfield,0.13197551818135062,19443,CT,Fairfield,0.16181343508384377,19918,CT,Fairfield,0.057244252430180526,19443,CT,Fairfield,75.429710341874,CT,Fairfield,17.931548720571644,2883768,CT,Fairfield,2630400,CT,Fairfield
MA,Hampshire,0.43374558303886923,2264,MA,Hampshire,0.20168067226890757,2142,MA,Hampshire,0.29328621908127206,2264,MA,Hampshire,0.12184873949579832,2142,MA,Hampshire,33.079674680381906,MA,Hampshire,7.0703928463434744,181984,MA,Hampshire,168856,MA,Hampshire
NH,Cheshire,0.640748740100792,1389,NH,Cheshire,0.48293391430646332,1377,NH,Cheshire,0.45068394528437727,1389,NH,Cheshire,0.30864197530864196,1377,NH,Cheshire,12.454145281542065,NH,Cheshire,3.1748967575362474,123459,NH,Cheshire,115308,NH,Cheshire
VT,Franklin,0.77493606138107418,782,VT,Franklin,0.682704811443433,769,VT,Franklin,0.56905370843989767,782,VT,Franklin,0.50845253576072824,769,VT,Franklin,9.3470632482867551,VT,Franklin,0.98127140291699844,47265,VT,Franklin,49232,VT,Franklin
MA,Suffolk,0.4533609100310238,19340,MA,Suffolk,0.20691920297788483,18268,MA,Suffolk,0.3001551189245088,19340,MA,Suffolk,0.11342237792861835,18268,MA,Suffolk,28.991814634539281,MA,Suffolk,8.7943999699701845,1683771,MA,Suffolk,1731666,MA,Suffolk
CT,Litchfield,0.35532591414944353,2516,CT,Litchfield,0.17259713701431492,2445,CT,Litchfield,0.20310015898251194,2516,CT,Litchfield,0.097750511247443758,2445,CT,Litchfield,48.366910886692708,CT,Litchfield,11.029214563493733,252432,CT,Litchfield,264536,CT,Litchfield
VT,Grand Isle,1.0,23,VT,Grand Isle,1.0,24,VT,Grand Isle,0.86956521739130432,23,VT,Grand Isle,0.58333333333333337,24,VT,Grand Isle,3.1741528194946711,VT,Grand Isle,0.78056665440391915,2628,VT,Grand Isle,2597,VT,Grand Isle
CT,Tolland,0.45952600800246229,3249,CT,Tolland,0.24368932038834951,3090,CT,Tolland,0.29270544783010155,3249,CT,Tolland,0.11974110032362459,3090,CT,Tolland,29.189736532418689,CT,Tolland,5.8856855656381688,206316,CT,Tolland,203602,CT,Tolland
HI,Maui,0.52543186180422263,2084,HI,Maui,0.21002658564375237,2633,HI,Maui,0.381957773512476,2084,HI,Maui,0.10748195974173946,2633,HI,Maui,21.281811765480253,HI,Maui,7.55246377578814,186596,HI,Maui,132701,HI,Maui
VT,Windham,0.76869391824526423,1003,VT,Windham,0.63027806385169927,971,VT,Windham,0.54137587238285145,1003,VT,Windham,0.42636457260556127,971,VT,Windham,8.1356071675126387,VT,Windham,1.7240514773324735,76331,VT,Windham,73562,VT,Windham
NH,Belknap,0.47750591949486976,1267,NH,Belknap,0.29495861550037622,1329,NH,Belknap,0.2573007103393844,1267,NH,Belknap,0.17155756207674944,1329,NH,Belknap,26.788061345251894,NH,Belknap,5.3389197764824692,95147,NH,Belknap,86571,NH,Belknap
NH,Strafford,0.33853946813001268,2369,NH,Strafford,0.17725752508361203,2392,NH,Strafford,0.18151118615449557,2369,NH,Strafford,0.091973244147157185,2392,NH,Strafford,49.821366198050534,NH,Strafford,5.7080461064758552,187039,NH,Strafford,156806,NH,Strafford
CT,New Haven,0.45087784833769146,13385,CT,New Haven,0.23446768654386513,12812,CT,New Haven,0.2706761299962645,13385,CT,New Haven,0.10279425538557602,12812,CT,New Haven,29.108125382061353,CT,New Haven,5.8692999770929282,1030181,CT,New Haven,1211269,CT,New Haven
NH,Hillsborough,0.37115902964959568,7420,NH,Hillsborough,0.15101872246696035,7264,NH,Hillsborough,0.234366576819407,7420,NH,Hillsborough,0.07571585903083701,7264,NH,Hillsborough,48.148639856129535,NH,Hillsborough,8.0046120730770713,685911,NH,Hillsborough,634466,NH,Hillsborough
NH,Sullivan,0.48666666666666669,750,NH,Sullivan,0.32486631016042783,748,NH,Sullivan,0.31866666666666665,750,NH,Sullivan,0.22058823529411764,748,NH,Sullivan,25.457976508248397,NH,Sullivan,5.45193470560411,54305,NH,Sullivan,48505,NH,Sullivan
RI,Providence,0.37312395775430796,7196,RI,Providence,0.16797825153813134,6989,RI,Providence,0.22081712062256809,7196,RI,Providence,0.081270568035484339,6989,RI,Providence,42.517965177870551,RI,Providence,17.778995235590152,642233,RI,Providence,685371,RI,Providence
HI,Honolulu,0.54213214171720392,12532,HI,Honolulu,0.27126453594675637,13673,HI,Honolulu,0.38246090009575484,12532,HI,Honolulu,0.15256344620785489,13673,HI,Honolulu,19.279332228171519,HI,Honolulu,7.011437481269744,1148878,HI,Honolulu,953253,HI,Honolulu
MA,Barnstable,0.32032400589101623,4074,MA,Barnstable,0.097171863669325592,4137,MA,Barnstable,0.2108492881688758,4074,MA,Barnstable,0.045443558133913466,4137,MA,Barnstable,61.878959527333265,MA,Barnstable,11.258089427573671,440387,MA,Barnstable,360294,MA,Barnstable
