state,county_name,frac_under_25mbpsDL,samples,BB_state,BB_county_name,frac_BB,BB_samples,DLmed_state,DLmed_county_name,DLmbps,ULmed_state,ULmed_county_name,ULmbps,ul_sample_size,ul_sample_state,ul_sample_county_name,dl_sample_size,dl_sample_state,dl_sample_county_name
NH,Sullivan,0.53819444444444442,576,NH,Sullivan,0.34121911769697411,3194119296,NH,Sullivan,19.122308004922978,NH,Sullivan,4.8832967468516753,54823,NH,Sullivan,49105,NH,Sullivan
VT,Bennington,0.42191780821917807,365,VT,Bennington,0.42713365628200062,2024051290,VT,Bennington,37.822879897574218,VT,Bennington,5.8407804913233283,45832,VT,Bennington,36437,VT,Bennington
MA,Hampden,0.52223178427997707,6972,MA,Hampden,0.35301361594822117,38662152312,MA,Hampden,21.848477868096335,MA,Hampden,4.7636364402727951,466902,MA,Hampden,472246,MA,Hampden
VT,Washington,0.7248270561106841,1301,VT,Washington,0.20331992111925942,7214495146,VT,Washington,8.0318884217195539,VT,Washington,1.9373757572239605,114489,VT,Washington,116973,VT,Washington
VT,Chittenden,0.43054595715272981,2894,VT,Chittenden,0.42075848532303972,16048231324,VT,Chittenden,32.229726702543388,VT,Chittenden,5.7722175040449022,265227,VT,Chittenden,232726,VT,Chittenden
MA,Bristol,0.34075004485914229,5573,MA,Bristol,0.48710693348917866,30904213258,MA,Bristol,47.260003631251152,MA,Bristol,9.2077092184037568,508530,MA,Bristol,571054,MA,Bristol
HI,Honolulu,0.59365276913503418,11249,HI,Honolulu,0.30024204327198084,62379597154,HI,Honolulu,14.420913480264968,HI,Honolulu,6.64633277334111,1157708,HI,Honolulu,961479,HI,Honolulu
MA,Franklin,0.43771827706635624,859,MA,Franklin,0.41545899803163217,4763452214,MA,Franklin,31.685674142350639,MA,Franklin,6.7312091488238108,72763,MA,Franklin,68740,MA,Franklin
MA,Suffolk,0.48335289974172341,21295,MA,Suffolk,0.38174046541893852,118088143070,MA,Suffolk,25.629881831302011,MA,Suffolk,6.0898582766884362,1705232,MA,Suffolk,1755273,MA,Suffolk
MA,Middlesex,0.32850339740983797,34438,MA,Middlesex,0.49615574242429511,190970625548,MA,Middlesex,51.223356238695146,MA,Middlesex,11.709961002836385,3445566,MA,Middlesex,3260787,MA,Middlesex
CT,New London,0.46216826651609261,3542,CT,New London,0.39739337771291838,19641615532,CT,New London,28.012700904779546,CT,New London,5.83164407847744,298317,CT,New London,369445,CT,New London
HI,Kauai,0.51946107784431139,668,HI,Kauai,0.35506083689219148,3704291128,HI,Kauai,21.760746591239858,HI,Kauai,6.5927281310436117,68252,HI,Kauai,46301,HI,Kauai
MA,Plymouth,0.31967075424155889,5953,MA,Plymouth,0.502682010184731,33011444738,MA,Plymouth,53.525038049015819,MA,Plymouth,10.879115941860846,478150,MA,Plymouth,478436,MA,Plymouth
NH,Coos,0.67477203647416417,329,NH,Coos,0.24030459882875777,1824418834,NH,Coos,11.843412225002275,NH,Coos,5.9578450445730606,26494,NH,Coos,24599,NH,Coos
RI,Providence,0.35252960172228204,7432,RI,Providence,0.47840324867779416,41213011472,RI,Providence,42.993902579011689,RI,Providence,14.218295645434408,646317,RI,Providence,689595,RI,Providence
MA,Essex,0.30037801686536786,10317,MA,Essex,0.5169370375361102,57211334682,MA,Essex,58.099039690685949,MA,Essex,10.928133281794684,1013727,MA,Essex,922820,MA,Essex
VT,Essex,0.20833333333333334,24,VT,Essex,0.58494705890909848,133088304,VT,Essex,67.783871497667263,VT,Essex,3.3518172762600127,2311,VT,Essex,1916,VT,Essex
MA,Hampshire,0.43642291569632047,2147,MA,Hampshire,0.41641611528252931,11905857862,MA,Hampshire,32.527963059224511,MA,Hampshire,5.8327977605895676,184077,MA,Hampshire,171115,MA,Hampshire
VT,Franklin,0.6693989071038251,732,VT,Franklin,0.24427469932010668,4059193272,VT,Franklin,11.845695073213301,VT,Franklin,1.7106543217761752,47738,VT,Franklin,49713,VT,Franklin
RI,Bristol,0.33011789924973206,933,RI,Bristol,0.49496281850490642,5173807818,RI,Bristol,54.197092663641158,RI,Bristol,9.1531088491412742,79137,RI,Bristol,73742,RI,Bristol
CT,Hartford,0.45419021701207174,14331,CT,Hartford,0.4032882028832866,79470353526,CT,Hartford,28.647394744273981,CT,Hartford,5.7755217002946209,1257178,CT,Hartford,1371217,CT,Hartford
RI,Kent,0.28975810602161606,1943,RI,Kent,0.52478388252212638,10774607278,RI,Kent,54.844944372302365,RI,Kent,21.772693180524417,191760,RI,Kent,216707,RI,Kent
MA,Berkshire,0.40807174887892378,2007,MA,Berkshire,0.43736423946755343,11129509422,MA,Berkshire,34.180115745922926,MA,Berkshire,8.8089642907349539,200996,MA,Berkshire,161034,MA,Berkshire
DE,Kent,0.35533780299123258,1939,DE,Kent,0.476328323532829,10752425894,DE,Kent,50.312921817088792,DE,Kent,9.5167724160380853,153620,DE,Kent,133708,DE,Kent
VT,Addison,0.67615658362989328,281,VT,Addison,0.23928158394033919,1558242226,VT,Addison,9.347139231157616,VT,Addison,2.089789994983732,33881,VT,Addison,35072,VT,Addison
NH,Grafton,0.49433710859427049,1501,NH,Grafton,0.37362444773968712,8323564346,NH,Grafton,24.3645290356689,NH,Grafton,5.9098587700796692,141172,NH,Grafton,120703,NH,Grafton
VT,Lamoille,0.787833827893175,674,VT,Lamoille,0.15676544636701747,3737563204,VT,Lamoille,7.0149235323583614,VT,Lamoille,0.9863107550688196,63102,VT,Lamoille,66397,VT,Lamoille
MA,Worcester,0.34344318071352192,10287,MA,Worcester,0.48511702793474248,57044974302,MA,Worcester,45.950940690991331,MA,Worcester,9.1380943707141267,1031626,MA,Worcester,944725,MA,Worcester
CT,Tolland,0.43796133567662565,2845,CT,Tolland,0.41527940676524949,15776509370,CT,Tolland,31.347485093947483,CT,Tolland,5.8236898358746823,208107,CT,Tolland,205571,CT,Tolland
CT,Middlesex,0.40166589541878761,2161,CT,Middlesex,0.44209739964604938,11983492706,CT,Middlesex,37.201354761498287,CT,Middlesex,5.7681566210633273,212339,CT,Middlesex,192083,CT,Middlesex
NH,Belknap,0.41133004926108374,1218,NH,Belknap,0.43495674486681213,6754231428,NH,Belknap,37.743536548575918,NH,Belknap,6.42624970104204,96509,NH,Belknap,87918,NH,Belknap
NH,Rockingham,0.27781340173132413,6238,NH,Rockingham,0.53360959154630971,34591868348,NH,Rockingham,66.921615589055961,NH,Rockingham,9.4632500530575534,587248,NH,Rockingham,756736,NH,Rockingham
HI,Hawaii,0.59203227433182049,1983,HI,Hawaii,0.30143939527507646,10996421118,HI,Hawaii,14.774490344380094,HI,Hawaii,5.6874344631720364,211819,HI,Hawaii,150406,HI,Hawaii
VT,Rutland,0.38644688644688646,546,VT,Rutland,0.45334242853568069,3027758916,VT,Rutland,37.680124841630693,VT,Rutland,5.80403493545426,54039,VT,Rutland,45358,VT,Rutland
MA,Barnstable,0.29158366533864544,4016,MA,Barnstable,0.52343501234946055,22270109536,MA,Barnstable,62.98625833254215,MA,Barnstable,9.4109299021439021,445563,MA,Barnstable,365491,MA,Barnstable
RI,Newport,0.38663335415365396,1601,RI,Newport,0.45320465118411624,8878098946,RI,Newport,43.904604957746351,RI,Newport,8.8453108182068121,153453,RI,Newport,142164,RI,Newport
NH,Hillsborough,0.34017294445258683,6823,NH,Hillsborough,0.48753334172350693,37835895758,NH,Hillsborough,49.189263828479994,NH,Hillsborough,8.2059076385270977,692661,NH,Hillsborough,641482,NH,Hillsborough
DC,District of Columbia,0.50867733019167161,22069,DC,District of Columbia,0.36302873770073407,122380240874,DC,District of Columbia,22.549490304889623,DC,District of Columbia,5.9089814940064409,1962274,DC,District of Columbia,1812110,DC,District of Columbia
MA,Norfolk,0.30625949316492124,12509,MA,Norfolk,0.51259132941383567,69366733114,MA,Norfolk,54.966381361825619,MA,Norfolk,11.197249206865159,1156018,MA,Norfolk,1049071,MA,Norfolk
NH,Strafford,0.290167865707434,2085,NH,Strafford,0.524481119082448,11562046410,NH,Strafford,57.55941743459573,NH,Strafford,5.9015167858733824,188304,NH,Strafford,158473,NH,Strafford
VT,Orleans,0.48677248677248675,189,VT,Orleans,0.37921379925936538,1048070394,VT,Orleans,25.460452732641919,VT,Orleans,5.3061504490770695,20839,VT,Orleans,18244,VT,Orleans
MA,Dukes,0.26731078904991951,621,MA,Dukes,0.54136976720801377,3443659866,MA,Dukes,64.814494685830681,MA,Dukes,11.159538295119441,75107,MA,Dukes,59503,MA,Dukes
VT,Grand Isle,0.42857142857142855,7,VT,Grand Isle,0.42221742597949963,38817422,VT,Grand Isle,44.307751530055427,VT,Grand Isle,25.292064540695627,2627,VT,Grand Isle,2587,VT,Grand Isle
VT,Windham,0.72537313432835826,1005,VT,Windham,0.20291643457522221,5573072730,VT,Windham,9.4596551792786219,VT,Windham,1.5569919292183945,79619,VT,Windham,76693,VT,Windham
HI,Maui,0.55458768873403019,1722,HI,Maui,0.32910646923402054,9549085812,HI,Maui,17.051659972994489,HI,Maui,7.6837827424617879,189047,HI,Maui,134382,HI,Maui
DE,Wicomico,0.0,2,DE,Wicomico,0.73888049546412438,11090692,DE,Wicomico,43.425049501207305,DE,Wicomico,7.5095171040975961,970,DE,Wicomico,712,DE,Wicomico
NH,Carroll,0.41060419235511714,811,NH,Carroll,0.43549306637712876,4497275606,NH,Carroll,33.912409323673536,NH,Carroll,5.8123326217708895,94758,NH,Carroll,63360,NH,Carroll
RI,Washington,0.25114155251141551,1752,RI,Washington,0.55331690071286022,9715446192,RI,Washington,61.2269009701972,RI,Washington,16.645657276186469,161221,RI,Washington,140734,RI,Washington
NH,Cheshire,0.63946711074104912,1201,NH,Cheshire,0.26639071984676588,6659960546,NH,Cheshire,13.644670477312852,NH,Cheshire,3.3983970630918456,124624,NH,Cheshire,116546,NH,Cheshire
MA,Nantucket,0.2388888888888889,540,MA,Nantucket,0.56237015488102793,2994486840,MA,Nantucket,87.111481803117712,MA,Nantucket,8.5666156802909619,53597,MA,Nantucket,40156,MA,Nantucket
DE,Sussex,0.311614730878187,2471,DE,Sussex,0.50863444871892982,13702549966,DE,Sussex,64.1177206938491,DE,Sussex,9.8093459330482027,288135,DE,Sussex,401106,DE,Sussex
VT,Caledonia,0.69863013698630139,146,VT,Caledonia,0.22267631370151691,809620516,VT,Caledonia,9.3302053601906145,VT,Caledonia,1.4409217890567336,26228,VT,Caledonia,26389,VT,Caledonia
CT,Fairfield,0.27142936503527582,18001,CT,Fairfield,0.538326631743347,99821773346,CT,Fairfield,73.734396819406925,CT,Fairfield,18.711518475597618,2906362,CT,Fairfield,2653377,CT,Fairfield
VT,Orange,0.58503401360544216,147,VT,Orange,0.30661027362796994,815165862,VT,Orange,21.953211261290214,VT,Orange,11.294532253596371,32703,VT,Orange,30945,VT,Orange
VT,Windsor,0.34970530451866405,509,VT,Windsor,0.48049006679494138,2822581114,VT,Windsor,41.794232958503024,VT,Windsor,29.25913781398096,63864,VT,Windsor,53907,VT,Windsor
CT,New Haven,0.44028297960882229,12015,CT,New Haven,0.41356398934633676,66627332190,CT,New Haven,29.91846567718104,CT,New Haven,5.7856636684637257,1042492,CT,New Haven,1224341,CT,New Haven
DE,New Castle,0.34642565914650719,7358,DE,New Castle,0.48291333279246723,40802655868,DE,New Castle,49.124263735383039,DE,New Castle,11.515799965144804,776901,DE,New Castle,698599,DE,New Castle
NH,Merrimack,0.39568067875048207,2593,NH,Merrimack,0.44651975950338713,14379082178,NH,Merrimack,39.617562540665958,NH,Merrimack,8.6382517681919957,203413,NH,Merrimack,205271,NH,Merrimack
CT,Litchfield,0.30197628458498021,2530,CT,Litchfield,0.51575610869155875,14029725380,CT,Litchfield,54.507149627228465,CT,Litchfield,10.756369224463901,255339,CT,Litchfield,267389,CT,Litchfield
CT,Windham,0.3775894538606403,1062,CT,Windham,0.45988701271354632,5889157452,CT,Windham,37.391107953935794,CT,Windham,7.7337258350735709,98845,CT,Windham,117128,CT,Windham
AK,Denali,1.0,1,AK,Denali,0.0,5545346,AK,Denali,0.2410980193905593,AK,Denali,1.3089791111060141,275,AK,Denali,286,AK,Denali
AK,Aleutians East,1.0,2,AK,Aleutians East,0.0,11090692,AK,Aleutians East,0.31602459339796374,AK,Aleutians East,0.13646852256096245,395,AK,Aleutians East,260,AK,Aleutians East
AK,Kusilvak,1.0,6,AK,Kusilvak,0.0,33272076,AK,Kusilvak,0.19011761640593886,AK,Kusilvak,0.053018598900697766,2001,AK,Kusilvak,2530,AK,Kusilvak
AK,Dillingham,0.98235294117647054,170,AK,Dillingham,0.013039067567013958,942708820,AK,Dillingham,2.6657413758814088,AK,Dillingham,13.046340758415829,8815,AK,Dillingham,7837,AK,Dillingham
AK,Southeast Fairbanks,1.0,35,AK,Southeast Fairbanks,0.0,194087110,AK,Southeast Fairbanks,1.5717645329437011,AK,Southeast Fairbanks,1.034592003355763,3652,AK,Southeast Fairbanks,4280,AK,Southeast Fairbanks
AK,Petersburg,1.0,17,AK,Petersburg,0.0,94270882,AK,Petersburg,3.2289636828875334,AK,Petersburg,9.2329392631626916,2362,AK,Petersburg,2118,AK,Petersburg
AK,Valdez-Cordova,0.91203703703703709,216,AK,Valdez-Cordova,0.064994117656566486,1197794736,AK,Valdez-Cordova,3.6385765910978036,AK,Valdez-Cordova,2.5553930194935721,65168,AK,Valdez-Cordova,58663,AK,Valdez-Cordova
AK,Matanuska-Susitna,0.99777530589543939,899,AK,Matanuska-Susitna,0.0016437830822338695,4985266054,AK,Matanuska-Susitna,2.1229666104011775,AK,Matanuska-Susitna,3.0196233063722469,86190,AK,Matanuska-Susitna,87374,AK,Matanuska-Susitna
AK,Prince of Wales-Hyder,1.0,28,AK,Prince of Wales-Hyder,0.0,155269688,AK,Prince of Wales-Hyder,0.742334706418662,AK,Prince of Wales-Hyder,0.71606457411996338,1731,AK,Prince of Wales-Hyder,1951,AK,Prince of Wales-Hyder
AK,Anchorage,0.94916142557652,3816,AK,Anchorage,0.037563631058710724,21161040336,AK,Anchorage,2.3539292877501956,AK,Anchorage,5.1997610639700493,560283,AK,Anchorage,443976,AK,Anchorage
AK,Ketchikan Gateway,0.96992481203007519,133,AK,Ketchikan Gateway,0.022221969788394715,737531018,AK,Ketchikan Gateway,2.9480125304545011,AK,Ketchikan Gateway,23.359854573157076,16955,AK,Ketchikan Gateway,17902,AK,Ketchikan Gateway
AK,North Slope,0.75862068965517238,58,AK,North Slope,0.17835046442237484,321630068,AK,North Slope,1.054501319094173,AK,North Slope,0.52763375946036473,10374,AK,North Slope,10345,AK,North Slope
AK,Fairbanks North Star,0.99135446685878958,694,AK,Fairbanks North Star,0.0063880158109290291,3848470124,AK,Fairbanks North Star,2.2500148260579791,AK,Fairbanks North Star,6.0572293859741588,90879,AK,Fairbanks North Star,77543,AK,Fairbanks North Star
AK,Bethel,1.0,115,AK,Bethel,0.0,637714790,AK,Bethel,1.8828842270103856,AK,Bethel,1.5278996479375648,13935,AK,Bethel,11473,AK,Bethel
AK,Yukon-Koyukuk,1.0,35,AK,Yukon-Koyukuk,0.0,194087110,AK,Yukon-Koyukuk,2.7464395096785825,AK,Yukon-Koyukuk,0.75958651651618891,952,AK,Yukon-Koyukuk,920,AK,Yukon-Koyukuk
AK,Kodiak Island,1.0,91,AK,Kodiak Island,0.0,504626486,AK,Kodiak Island,2.0899652860141091,AK,Kodiak Island,3.6111267749253844,7895,AK,Kodiak Island,6974,AK,Kodiak Island
AK,Sitka,1.0,55,AK,Sitka,0.0,304994030,AK,Sitka,2.7560239364655783,AK,Sitka,9.296332094021766,11159,AK,Sitka,9431,AK,Sitka
AK,Bristol Bay,1.0,12,AK,Bristol Bay,0.0,66544152,AK,Bristol Bay,3.2443887067543811,AK,Bristol Bay,0.51190999585884955,1292,AK,Bristol Bay,1287,AK,Bristol Bay
AK,Hoonah-Angoon,1.0,8,AK,Hoonah-Angoon,0.0,44362768,AK,Hoonah-Angoon,0.77092996707245065,AK,Hoonah-Angoon,2.9547398229839579,739,AK,Hoonah-Angoon,791,AK,Hoonah-Angoon
AK,Wrangell,0.91666666666666663,12,AK,Wrangell,0.06157337462201036,66544152,AK,Wrangell,1.6530782146920231,AK,Wrangell,1.8761349851336537,1134,AK,Wrangell,1234,AK,Wrangell
AK,Nome,1.0,65,AK,Nome,0.0,360447490,AK,Nome,1.6975423334735507,AK,Nome,1.9217346896981908,5221,AK,Nome,5035,AK,Nome
AK,Juneau,0.8452722063037249,349,AK,Juneau,0.11432534886837453,1935325754,AK,Juneau,3.8931314599199847,AK,Juneau,8.91932750574912,60883,AK,Juneau,47121,AK,Juneau
AK,Lake and Peninsula,1.0,7,AK,Lake and Peninsula,0.0,38817422,AK,Lake and Peninsula,3.2991025795595719,AK,Lake and Peninsula,0.62120490816304552,473,AK,Lake and Peninsula,471,AK,Lake and Peninsula
