state,county_name,frac_under_25mbpsDL,samples,UL_3_state,UL_3_county_name,frac_under_3mbpsUL,UL_3_samples,DL_10_state,DL_10_county_name,frac_under_10mbpsDL,DL_10_samples,UL_1_state,UL_1_county_name,frac_under_1mbpsUL,UL_1_samples,DLmed_state,DLmed_county_name,DLmbps,ULmed_state,ULmed_county_name,ULmbps,ul_sample_size,ul_sample_state,ul_sample_county_name,dl_sample_size,dl_sample_state,dl_sample_county_name
VT,Windham,0.721102863202545,943,VT,Windham,0.58141858141858138,1001,VT,Windham,0.46659597030752914,943,VT,Windham,0.39160839160839161,1001,VT,Windham,10.611170066407906,VT,Windham,1.7798417179833927,76302,VT,Windham,73530,VT,Windham
VT,Windsor,0.50501672240802675,598,VT,Windsor,0.17073170731707318,697,VT,Windsor,0.25418060200668896,598,VT,Windsor,0.11477761836441894,697,VT,Windsor,24.326431748299669,VT,Windsor,19.881830718615024,63529,VT,Windsor,53286,VT,Windsor
MA,Worcester,0.4050434236685152,9557,MA,Worcester,0.18518867036793074,10627,MA,Worcester,0.23459244532803181,9557,MA,Worcester,0.09202973557918509,10627,MA,Worcester,34.5015175254127,MA,Worcester,8.450116047251278,1023143,MA,Worcester,933324,MA,Worcester
VT,Orange,0.68421052631578949,133,VT,Orange,0.4485294117647059,136,VT,Orange,0.5864661654135338,133,VT,Orange,0.375,136,VT,Orange,6.673836261052859,VT,Orange,4.56730279137945,32929,VT,Orange,31265,VT,Orange
VT,Grand Isle,0.0,2,VT,Grand Isle,0.0,2,VT,Grand Isle,0.0,2,VT,Grand Isle,0.0,2,VT,Grand Isle,76.346040132547984,VT,Grand Isle,70.146987714110821,2628,VT,Grand Isle,2597,VT,Grand Isle
MA,Nantucket,0.32959641255605382,446,MA,Nantucket,0.12840466926070038,514,MA,Nantucket,0.2085201793721973,446,MA,Nantucket,0.023346303501945526,514,MA,Nantucket,50.378122596659267,MA,Nantucket,6.2425171773349293,52783,MA,Nantucket,39301,MA,Nantucket
RI,Newport,0.43617664851784632,1653,RI,Newport,0.2802986789201608,1741,RI,Newport,0.30490018148820325,1653,RI,Newport,0.15106260769672603,1741,RI,Newport,32.011573736875043,RI,Newport,8.18756785008849,152115,RI,Newport,140696,RI,Newport
VT,Franklin,0.755223880597015,670,VT,Franklin,0.6,730,VT,Franklin,0.5208955223880597,670,VT,Franklin,0.4123287671232877,730,VT,Franklin,9.05332254909064,VT,Franklin,1.5030074743726003,47255,VT,Franklin,49224,VT,Franklin
MA,Norfolk,0.33531489618333765,11607,MA,Norfolk,0.14767441860465116,12040,MA,Norfolk,0.19350392004824674,11607,MA,Norfolk,0.06262458471760797,12040,MA,Norfolk,46.186175646951462,MA,Norfolk,9.52074898688843,1147115,MA,Norfolk,1039791,MA,Norfolk
NH,Cheshire,0.69576059850374061,1203,NH,Cheshire,0.442056792018419,1303,NH,Cheshire,0.46882793017456359,1203,NH,Cheshire,0.25709900230237914,1303,NH,Cheshire,10.944144336195793,NH,Cheshire,4.2342058910999887,123472,NH,Cheshire,115321,NH,Cheshire
