state,county_name,frac_under_25mbpsDL,samples,UL_3_state,UL_3_county_name,frac_under_3mbpsUL,UL_3_samples,DL_10_state,DL_10_county_name,frac_under_10mbpsDL,DL_10_samples,UL_1_state,UL_1_county_name,frac_under_1mbpsUL,UL_1_samples,DLmed_state,DLmed_county_name,DLmbps,ULmed_state,ULmed_county_name,ULmbps,ul_sample_size,ul_sample_state,ul_sample_county_name,dl_sample_size,dl_sample_state,dl_sample_county_name
NH,Hillsborough,0.58593159995684541,9269,NH,Hillsborough,0.33968222638902595,10133,NH,Hillsborough,0.39216743985327435,9269,NH,Hillsborough,0.20329616105792953,10133,NH,Hillsborough,15.9711232,NH,Hillsborough,4.8242092807462038,685828,NH,Hillsborough,634384,NH,Hillsborough
MA,Plymouth,0.37104072398190047,5083,MA,Plymouth,0.15830115830115829,5439,MA,Plymouth,0.19850481998819594,5083,MA,Plymouth,0.073359073359073365,5439,MA,Plymouth,38.657235115079658,MA,Plymouth,9.1831377054953442,473317,MA,Plymouth,473725,MA,Plymouth
MA,Bristol,0.41016299137104506,5215,MA,Bristol,0.1735251274581209,5492,MA,Bristol,0.2199424736337488,5215,MA,Bristol,0.082301529497450843,5492,MA,Bristol,33.385831602071114,MA,Bristol,8.2451452200519437,502626,MA,Bristol,566369,MA,Bristol
MA,Barnstable,0.375,3840,MA,Barnstable,0.15441345932242453,4339,MA,Barnstable,0.21666666666666667,3840,MA,Barnstable,0.083890297303526151,4339,MA,Barnstable,38.305792000000004,MA,Barnstable,8.6839460348542481,440441,MA,Barnstable,360329,MA,Barnstable
VT,Windsor,0.48127600554785022,721,VT,Windsor,0.21956521739130436,920,VT,Windsor,0.28294036061026351,721,VT,Windsor,0.12065217391304348,920,VT,Windsor,25.4672896,VT,Windsor,11.79648481907059,63545,VT,Windsor,53306,VT,Windsor
NH,Coos,0.77044025157232709,318,NH,Coos,0.44072948328267475,329,NH,Coos,0.55660377358490565,318,NH,Coos,0.2857142857142857,329,NH,Coos,7.7864287850061791,NH,Coos,3.884096914672738,26233,NH,Coos,24285,NH,Coos
MA,Hampden,0.64015662975965437,7406,MA,Hampden,0.46199064796259187,7485,MA,Hampden,0.42263029975695382,7406,MA,Hampden,0.279625918503674,7485,MA,Hampden,13.619375836201376,MA,Hampden,3.5148308344232122,459424,MA,Hampden,464271,MA,Hampden
DE,Sussex,0.4192685102586976,2242,DE,Sussex,0.18411552346570398,2770,DE,Sussex,0.25646743978590542,2242,DE,Sussex,0.10577617328519856,2770,DE,Sussex,35.845309558439482,DE,Sussex,9.1698290323461,284497,DE,Sussex,397404,DE,Sussex
MA,Nantucket,0.33613445378151263,476,MA,Nantucket,0.11423220973782772,534,MA,Nantucket,0.16176470588235295,476,MA,Nantucket,0.033707865168539325,534,MA,Nantucket,53.121328500436924,MA,Nantucket,8.4575549185919225,52777,MA,Nantucket,39295,MA,Nantucket
MA,Norfolk,0.37118523775727469,11272,MA,Norfolk,0.15919130139313625,11772,MA,Norfolk,0.20608587650816182,11272,MA,Norfolk,0.076622494053686721,11772,MA,Norfolk,39.940581467920268,MA,Norfolk,9.3013629587680242,1146987,MA,Norfolk,1039665,MA,Norfolk
