state,county_name,frac_under_25mbpsDL,samples,BB_state,BB_county_name,frac_BB,BB_samples,DLmed_state,DLmed_county_name,DLmbps,ULmed_state,ULmed_county_name,ULmbps,ul_sample_size,ul_sample_state,ul_sample_county_name,dl_sample_size,dl_sample_state,dl_sample_county_name
CT,Windham,0.5314834578441836,937,CT,Windham,0.32524121578262216,5395718248,CT,Windham,21.95456,CT,Windham,6.6474212301448041,98844,CT,Windham,117128,CT,Windham
CT,Middlesex,0.51156069364161849,2076,CT,Middlesex,0.33907147249282765,11954654304,CT,Middlesex,23.455334399999998,CT,Middlesex,4.8206531713843264,212339,CT,Middlesex,192083,CT,Middlesex
CT,Fairfield,0.32723927108684037,16847,CT,Fairfield,0.46702623646050206,97013516888,CT,Fairfield,47.415271487722826,CT,Fairfield,16.7001692194133,2906365,CT,Fairfield,2653386,CT,Fairfield
HI,Honolulu,0.696049500237982,10505,HI,Honolulu,0.21100051158376606,60493084520,HI,Honolulu,8.6310911999999984,HI,Honolulu,5.5387020909514968,1157712,HI,Honolulu,961485,HI,Honolulu
VT,Grand Isle,1.0,13,VT,Grand Isle,0.0,74860552,VT,Grand Isle,0.91176323152697825,VT,Grand Isle,1.1382170100572451,2627,VT,Grand Isle,2587,VT,Grand Isle
VT,Windsor,0.4704918032786885,610,VT,Windsor,0.36758123603505127,3512687440,VT,Windsor,25.8473984,VT,Windsor,13.400690241613589,63864,VT,Windsor,53907,VT,Windsor
NH,Grafton,0.550561797752809,1335,NH,Grafton,0.31199715306832893,7687602840,NH,Grafton,19.314769555085903,NH,Grafton,5.3200116079453563,141172,NH,Grafton,120704,NH,Grafton
NH,Strafford,0.39365574622984917,1923,NH,Strafford,0.420920340126271,11073603192,NH,Strafford,38.218660607788891,NH,Strafford,5.5703368771010444,188304,NH,Strafford,158473,NH,Strafford
MA,Middlesex,0.40833126841221334,36321,MA,Middlesex,0.41073268558823861,209154623784,MA,Middlesex,34.401485668664378,MA,Middlesex,9.3197407221360145,3445576,MA,Middlesex,3260791,MA,Middlesex
MA,Barnstable,0.37708333333333333,3840,MA,Barnstable,0.4324248041823594,22112655360,MA,Barnstable,37.717248571531471,MA,Barnstable,8.659601965574284,445563,MA,Barnstable,365492,MA,Barnstable
MA,Essex,0.40793201133144474,9531,MA,Essex,0.41100984732464491,54884301624,MA,Essex,34.57772999259695,MA,Essex,8.5201312387668544,1013728,MA,Essex,922823,MA,Essex
MA,Berkshire,0.5138427464008859,1806,MA,Berkshire,0.33748728592283161,10399858224,MA,Berkshire,22.948050538141924,MA,Berkshire,8.11540170995788,200997,MA,Berkshire,161035,MA,Berkshire
MA,Plymouth,0.36506622516556292,4832,MA,Plymouth,0.44076700455097961,27825091328,MA,Plymouth,39.055458035990341,MA,Plymouth,9.198838171686722,478154,MA,Plymouth,478438,MA,Plymouth
MA,Worcester,0.4241081320629293,9026,MA,Worcester,0.399780486779239,51976257104,MA,Worcester,32.142305875774284,MA,Worcester,8.3483076868638,1031630,MA,Worcester,944727,MA,Worcester
NH,Merrimack,0.49773527931555106,1987,NH,Merrimack,0.34866898754196163,11442147448,NH,Merrimack,23.6781568,NH,Merrimack,7.709950012703632,203414,NH,Merrimack,205271,NH,Merrimack
CT,Hartford,0.57836084073917338,14178,CT,Hartford,0.29269923351809113,81644069712,CT,Hartford,18.037824571312751,CT,Hartford,4.7185734135333437,1257187,CT,Hartford,1371226,CT,Hartford
MA,Suffolk,0.50958993510025019,27581,MA,Suffolk,0.3404395605886274,158825298824,MA,Suffolk,22.84364905063709,MA,Suffolk,5.7408066949262784,1705236,MA,Suffolk,1755278,MA,Suffolk
