county,pct_change_proprietors_2000_2017,proprietors_2000,proprietors_2017,pct_proprietors_employment_2000,pct_proprietors_employment_2010,pct_proprietors_employment_2017,total_employment_2017,wage_salary_jobs_2017,pct_change_pro_emp_2000_2017,pct_change_pro_emp_2010_2017
Anderson County,0.019147345,6685,6813,0.2683,0.2693,0.242688704,28073,21260,-0.0256,-0.0266
Andrews County,0.918103448,1392,2670,0.2339,0.2274,0.25877108,10318,7648,0.0249,0.0314
Angelina County,0.335068799,8067,10770,0.1783,0.2024,0.223522819,48183,37413,0.0452,0.0211
Aransas County,0.218390805,3393,4134,0.353,0.3802,0.383950961,10767,6633,0.031,0.0038
Archer County,0.609090909,1650,2655,0.4457,0.4696,0.557070919,4766,2111,0.1114,0.0875
Armstrong County,-0.068143101,587,547,0.5307,0.5577,0.542120912,1009,462,0.0114,-0.0156
Atascosa County,0.325943143,5593,7416,0.363,0.3645,0.351986331,21069,13653,-0.011,-0.0125
Austin County,0.292842459,5351,6918,0.3812,0.3447,0.38403464,18014,11096,0.0028,0.0393
Bailey County,-0.138099106,1231,1061,0.3251,0.2655,0.300141443,3535,2474,-0.025,0.0346
Bandera County,0.286804182,3539,4554,0.5606,0.5746,0.558430411,8155,3601,-0.0022,-0.0162
Bastrop County,0.534300955,8061,12368,0.4159,0.4109,0.388417813,31842,19474,-0.0275,-0.0225
Baylor County,-0.066666667,840,784,0.4008,0.3844,0.376923077,2080,1296,-0.0239,-0.0075
Bee County,0.251028807,2916,3648,0.2429,0.2604,0.285401346,12782,9134,0.0425,0.025
Bell County,0.679572764,20223,33966,0.1295,0.1459,0.175554843,193478,159512,0.0461,0.0297
Bexar County,0.865621679,131740,245777,0.1552,0.1991,0.206648169,1189350,943573,0.0514,0.0075
Blanco County,0.029868942,3281,3379,0.5561,0.4906,0.486957775,6939,3560,-0.0691,-0.0036
Borden County,0.078431373,204,220,0.5217,0.4394,0.523809524,420,200,0.0021,0.0844
Bosque County,0.075740319,3512,3778,0.4467,0.4758,0.47390868,7972,4194,0.0272,-0.0019
Bowie County,0.555571614,6919,10763,0.1465,0.1819,0.194960693,55206,44443,0.0485,0.0131
Brazoria County,0.761144925,24316,42824,0.2328,0.2904,0.272313366,157260,114436,0.0395,-0.0181
Brazos County,1.190735695,12478,27336,0.1384,0.1871,0.20276525,134816,107480,0.0644,0.0157
Brewster County,0.607413648,1187,1908,0.2139,0.2752,0.319437469,5973,4065,0.1055,0.0442
Briscoe County,0.00591716,507,510,0.4721,0.5366,0.567928731,898,388,0.0958,0.0313
Brooks County,0.596446701,788,1258,0.2416,0.2673,0.318965517,3944,2686,0.0774,0.0517
Brown County,0.138756856,5470,6229,0.2558,0.2639,0.270168286,23056,16827,0.0144,0.0063
Burleson County,0.203327172,3246,3906,0.4703,0.4758,0.450831025,8664,4758,-0.0195,-0.025
Burnet County,0.207524537,9170,11073,0.4776,0.4178,0.424480564,26086,15013,-0.0531,0.0067
Caldwell County,0.472323879,4372,6437,0.388,0.4093,0.412866397,15591,9154,0.0249,0.0036
Calhoun County,-0.043769716,2536,2425,0.1703,0.1976,0.1800698,13467,11042,0.0098,-0.0175
Callahan County,0.208983632,2627,3176,0.5535,0.5398,0.550433276,5770,2594,-0.0031,0.0106
Cameron County,0.983112183,22383,44388,0.1606,0.2171,0.229310024,193572,149184,0.0687,0.0122
Camp County,0.133464826,1521,1724,0.2904,0.3032,0.31085467,5546,3822,0.0205,0.0077
Carson County,0.087147887,1136,1235,0.2008,0.2006,0.204267284,6046,4811,0.0035,0.0037
Cass County,0.055097087,4120,4347,0.306,0.3271,0.351812884,12356,8009,0.0458,0.0247
Castro County,-0.004497751,1334,1328,0.3082,0.3062,0.328550223,4042,2714,0.0204,0.0224
Chambers County,1.201568266,2168,4773,0.2229,0.2496,0.243532833,19599,14826,0.0206,-0.0061
Cherokee County,0.046799938,6453,6755,0.2705,0.2555,0.301670239,22392,15637,0.0312,0.0462
Childress County,-0.096745027,1106,999,0.2911,0.2632,0.270072993,3699,2700,-0.021,0.0069
Clay County,-0.268726319,3431,2509,0.5984,0.5358,0.610462287,4110,1601,0.0121,0.0747
Cochran County,-0.195419847,655,527,0.3629,0.3605,0.388929889,1355,828,0.026,0.0284
Coke County,0.018223235,878,894,0.4124,0.5129,0.537906137,1662,768,0.1255,0.025
Coleman County,0.113051471,2176,2422,0.4702,0.4777,0.498764415,4856,2434,0.0286,0.0211
Collin County,1.618772895,67427,176576,0.2739,0.3077,0.292990502,602668,426092,0.0191,-0.0147
Collingsworth County,-0.221627409,934,727,0.4656,0.4337,0.42341293,1717,990,-0.0422,-0.0103
Colorado County,0.029733275,4574,4710,0.4004,0.4041,0.384772486,12241,7531,-0.0156,-0.0193
Comal County,1.887087027,9928,28663,0.2418,0.3491,0.330302611,86778,58115,0.0885,-0.0188
Comanche County,-0.180241724,3806,3120,0.4699,0.4161,0.443622921,7033,3913,-0.0263,0.0275
Concho County,-0.178723404,940,772,0.4498,0.4006,0.469300912,1645,873,0.0195,0.0687
Cooke County,0.118582352,8239,9216,0.3763,0.336,0.376409083,24484,15268,1.00E-04,0.0404
Coryell County,0.051558962,5741,6037,0.3005,0.2507,0.242830136,24861,18824,-0.0577,-0.0079
Cottle County,-0.116831683,505,446,0.4414,0.4837,0.502252252,888,442,0.0609,0.0186
Crane County,0.475446429,448,661,0.229,0.2484,0.343198339,1926,1265,0.1142,0.0948
Crockett County,0.305232558,688,898,0.3133,0.3231,0.355221519,2528,1630,0.0419,0.0321
Crosby County,-0.042462845,942,902,0.3319,0.3534,0.359649123,2508,1606,0.0277,0.0062
Culberson County,0.043076923,325,339,0.24,0.213,0.225548902,1503,1164,-0.0145,0.0125
Dallam County,-0.127967574,1727,1506,0.3279,0.3477,0.270717239,5563,4057,-0.0572,-0.077
Dallas County,0.9723789,242713,478722,0.1289,0.198,0.211010662,2268710,1789988,0.0821,0.013
Dawson County,0.041179461,1967,2048,0.2769,0.288,0.308992154,6628,4580,0.0321,0.021
Deaf Smith County,-0.045929798,2678,2555,0.2958,0.2438,0.258996452,9865,7310,-0.0368,0.0152
Delta County,-0.002985075,1005,1002,0.4022,0.4177,0.421008403,2380,1378,0.0188,0.0033
Denton County,2.758861901,36025,135413,0.2203,0.3432,0.344924819,392587,257174,0.1246,0.0017
DeWitt County,0,4338,4338,0.3769,0.345,0.348265896,12456,8118,-0.0286,0.0033
Dickens County,0.061919505,646,686,0.4736,0.4941,0.497822932,1378,692,0.0242,0.0037
Dimmit County,0.160117878,1018,1181,0.2675,0.2504,0.178022309,6634,5453,-0.0895,-0.0724
Donley County,0.012725345,943,955,0.449,0.4402,0.474180735,2014,1059,0.0252,0.034
Duval County,0.249473684,1900,2374,0.353,0.3867,0.396393388,5989,3615,0.0434,0.0097
Eastland County,0.131759539,3643,4123,0.3306,0.3552,0.342413421,12041,7918,0.0118,-0.0128
Ector County,0.829261496,10765,19692,0.1718,0.2002,0.208343473,94517,74825,0.0365,0.0081
Edwards County,-0.098660171,821,740,0.6215,0.5596,0.570547417,1297,557,-0.051,0.0109
Ellis County,1.437127396,10903,26572,0.2343,0.3491,0.335644903,79167,52595,0.1013,-0.0135
El Paso County,0.869539363,47087,88031,0.1454,0.1981,0.20224923,435260,347229,0.0568,0.0041
Erath County,0.457008467,5315,7744,0.2709,0.29,0.303745833,25495,17751,0.0328,0.0137
Falls County,-0.160025102,3187,2677,0.4054,0.3706,0.401409507,6669,3992,-0.004,0.0308
Fannin County,0.170625943,5304,6209,0.3901,0.4302,0.436577134,14222,8013,0.0465,0.0064
Fayette County,0.171720396,6266,7342,0.4197,0.4367,0.426117237,17230,9888,0.0064,-0.0106
Fisher County,-0.030451866,1018,987,0.475,0.4774,0.493253373,2001,1014,0.0183,0.0159
Floyd County,-0.078884462,1255,1156,0.3594,0.3737,0.391731616,2951,1795,0.0323,0.018
Foard County,-0.098557692,416,375,0.4771,0.4788,0.469924812,798,423,-0.0072,-0.0089
Fort Bend County,1.34489025,48975,114841,0.3418,0.3651,0.373595451,307394,192553,0.0318,0.0085
Franklin County,-0.316853933,2670,1824,0.4944,0.3409,0.361761206,5042,3218,-0.1326,0.0209
Freestone County,-0.079795396,3910,3598,0.458,0.3538,0.397964827,9041,5443,-0.06,0.0442
Frio County,0.316906229,1461,1924,0.2562,0.2312,0.206592935,9313,7389,-0.0496,-0.0246
Gaines County,0.760387253,2479,4364,0.3459,0.3802,0.394753505,11055,6691,0.0489,0.0146
Galveston County,0.6520823,24204,39987,0.2062,0.2575,0.25285343,158143,118156,0.0467,-0.0046
Garza County,0.02893617,1175,1209,0.4207,0.3537,0.38478676,3142,1933,-0.0359,0.0311
Gillespie County,0.669030733,5499,9178,0.4204,0.4316,0.443831907,20679,11501,0.0234,0.0122
Glasscock County,0.560913706,394,615,0.4442,0.4365,0.530172414,1160,545,0.086,0.0937
Goliad County,0.321541377,1583,2092,0.5204,0.5277,0.578699862,3615,1523,0.0583,0.051
Gonzales County,0.071991307,3681,3946,0.3651,0.3594,0.34351876,11487,7541,-0.0216,-0.0159
Gray County,0.035087719,3534,3658,0.3086,0.2887,0.311743651,11734,8076,0.0031,0.023
Grayson County,0.87006079,10528,19688,0.183,0.2796,0.286137837,68806,49118,0.1031,0.0065
Gregg County,0.418955167,15658,22218,0.1891,0.2148,0.221228717,100430,78212,0.0321,0.0064
Grimes County,0.29889992,3727,4841,0.3529,0.3541,0.390214412,12406,7565,0.0373,0.0361
Guadalupe County,1.583088141,7817,20192,0.2486,0.3186,0.314973404,64107,43915,0.0664,-0.0036
Hale County,0.008507535,4114,4149,0.2125,0.21,0.246876116,16806,12657,0.0344,0.0369
Hall County,-0.014492754,690,680,0.3464,0.3841,0.427404148,1591,911,0.081,0.0433
Hamilton County,0.14518594,1963,2248,0.4204,0.4509,0.450230322,4993,2745,0.0298,-0.0007
Hansford County,0.150582363,1202,1383,0.3564,0.3633,0.370876911,3729,2346,0.0145,0.0076
Hardeman County,-0.083726415,848,777,0.3451,0.3701,0.367028814,2117,1340,0.0219,-0.0031
Hardin County,0.606208751,4091,6571,0.2635,0.3208,0.325055652,20215,13644,0.0616,0.0043
Harris County,1.032359144,332858,676487,0.1462,0.2089,0.218445132,3096828,2420341,0.0722,0.0095
Harrison County,0.545074349,6456,9975,0.219,0.2547,0.287555133,34689,24714,0.0686,0.0329
Hartley County,-0.072463768,690,640,0.3341,0.1754,0.182857143,3500,2860,-0.1512,0.0075
Haskell County,-0.038629738,1372,1319,0.4179,0.3974,0.431609948,3056,1737,0.0137,0.0342
Hays County,1.342935023,13574,31803,0.2741,0.3211,0.308662105,103035,71232,0.0346,-0.0124
Hemphill County,0.647337278,845,1392,0.3703,0.3526,0.360808709,3858,2466,-0.0095,0.0082
Henderson County,0.120196096,11423,12796,0.4,0.4215,0.412335256,31033,18237,0.0123,-0.0092
Hidalgo County,1.541528405,40081,101867,0.189,0.2524,0.272054503,374436,272569,0.0831,0.0197
Hill County,0.074554896,5392,5794,0.3519,0.357,0.355263965,16309,10515,0.0034,-0.0017
Hockley County,0.159960746,3057,3546,0.2607,0.256,0.255346727,13887,10341,-0.0054,-0.0007
Hood County,2.359911406,3612,12136,0.2629,0.4327,0.422562674,28720,16584,0.1597,-0.0101
Hopkins County,0.142451155,5630,6432,0.3198,0.318,0.320766008,20052,13620,0.001,0.0028
Houston County,0.214038401,3177,3857,0.2792,0.3433,0.334026154,11547,7690,0.0548,-0.0093
Howard County,0.205750799,3130,3774,0.1943,0.1976,0.221284081,17055,13281,0.027,0.0237
Hudspeth County,0.723646724,351,605,0.2696,0.242,0.321125265,1884,1279,0.0515,0.0791
Hunt County,0.343702723,10576,14211,0.2838,0.2732,0.309668562,45891,31680,0.0259,0.0365
Hutchinson County,-0.102870813,2508,2250,0.2139,0.2082,0.202374528,11118,8868,-0.0115,-0.0058
Irion County,0.400881057,454,636,0.5124,0.4839,0.416775885,1526,890,-0.0956,-0.0671
Jack County,0.492544732,2012,3003,0.4868,0.4728,0.471354575,6371,3368,-0.0154,-0.0014
Jackson County,0.026740433,2169,2227,0.2764,0.2857,0.264803805,8410,6183,-0.0116,-0.0209
Jasper County,-0.237321081,5659,4316,0.3348,0.3035,0.289411922,14913,10597,-0.0454,-0.0141
Jeff Davis County,0.457286432,398,580,0.3295,0.397,0.413990007,1401,821,0.0845,0.017
Jefferson County,0.444632594,19488,28153,0.1328,0.1707,0.179452203,156883,128730,0.0467,0.0088
Jim Hogg County,0.380165289,605,835,0.2815,0.2699,0.310986965,2685,1850,0.0295,0.0411
Jim Wells County,0.343622876,4179,5615,0.2279,0.2222,0.250535427,22412,16797,0.0226,0.0283
Johnson County,0.440443049,16883,24319,0.3263,0.331,0.327317021,74298,49979,0.001,-0.0037
Jones County,0.085492228,3088,3352,0.3596,0.3459,0.418633696,8007,4655,0.059,0.0727
Karnes County,0.211278195,2660,3222,0.3773,0.4015,0.339945136,9478,6256,-0.0374,-0.0616
Kaufman County,1.132885751,8639,18426,0.2736,0.3373,0.353971761,52055,33629,0.0804,0.0167
Kendall County,1.760535251,5007,13822,0.3857,0.4733,0.45374565,30462,16640,0.068,-0.0196
Kenedy County,0.066666667,60,64,0.1739,0.1639,0.090651558,706,642,-0.0832,-0.0732
Kent County,-0.075601375,291,269,0.4747,0.458,0.460616438,584,315,-0.0141,0.0026
Kerr County,0.493644329,8103,12103,0.3318,0.3615,0.386331716,31328,19225,0.0545,0.0248
Kimble County,0.208530806,1266,1530,0.429,0.476,0.508305648,3010,1480,0.0793,0.0323
King County,0.23,100,123,0.3846,0.362,0.50617284,243,120,0.1216,0.1442
Kinney County,0.513812155,362,548,0.3396,0.3511,0.372789116,1470,922,0.0332,0.0217
Kleberg County,0.289848812,2315,2986,0.1682,0.1756,0.192001029,15552,12566,0.0238,0.0164
Knox County,0.054794521,730,770,0.3336,0.3074,0.391260163,1968,1198,0.0577,0.0839
Lamar County,0.132928009,7237,8199,0.2533,0.2658,0.265211063,30915,22716,0.0119,-0.0006
Lamb County,-0.044585987,2041,1950,0.299,0.2844,0.31753786,6141,4191,0.0185,0.0331
Lampasas County,0.478537361,2516,3720,0.3469,0.396,0.429809359,8655,4935,0.0829,0.0338
La Salle County,0.456712673,797,1161,0.3519,0.3132,0.239233464,4853,3692,-0.1127,-0.074
Lavaca County,0.144250305,4922,5632,0.4341,0.4579,0.465685464,12094,6462,0.0316,0.0078
Lee County,0.239086441,3459,4286,0.3862,0.3772,0.363158787,11802,7516,-0.023,-0.014
Leon County,0.202757502,3699,4449,0.4163,0.4248,0.456963846,9736,5287,0.0407,0.0322
Liberty County,0.069390172,8445,9031,0.3351,0.3097,0.330672623,27311,18280,-0.0044,0.021
Limestone County,0.179185232,3142,3705,0.2824,0.2791,0.310796074,11921,8216,0.0284,0.0317
Lipscomb County,0.379581152,764,1054,0.4108,0.3993,0.42775974,2464,1410,0.017,0.0285
Live Oak County,0.304761905,1995,2603,0.3918,0.3818,0.376319214,6917,4314,-0.0155,-0.0055
Llano County,0.802930968,2593,4675,0.3624,0.4558,0.469283276,9962,5287,0.1069,0.0135
Loving County,-0.023255814,43,42,0.4526,0.45,0.365217391,115,73,-0.0874,-0.0848
Lubbock County,0.523334373,28863,43968,0.1922,0.2191,0.229839152,191299,147331,0.0376,0.0107
Lynn County,0.234204793,918,1133,0.3434,0.4084,0.404642857,2800,1667,0.0612,-0.0038
McCulloch County,0.079230334,1767,1907,0.3788,0.3774,0.38323955,4976,3069,0.0044,0.0058
McLennan County,0.576889493,20614,32506,0.1675,0.2075,0.212649318,152862,120356,0.0451,0.0051
McMullen County,0.31372549,357,469,0.5152,0.5063,0.424434389,1105,636,-0.0908,-0.0819
Madison County,0.240639041,2003,2485,0.3338,0.3556,0.358948433,6923,4438,0.0251,0.0033
Marion County,0.023584906,1484,1519,0.4205,0.391,0.407129456,3731,2212,-0.0134,0.0161
Martin County,0.628507295,891,1451,0.3874,0.4093,0.409887006,3540,2089,0.0225,0.0006
Mason County,0.237787356,1392,1723,0.5788,0.5614,0.571855294,3013,1290,-0.0069,0.0105
Matagorda County,0.063195372,4494,4778,0.2671,0.286,0.291004324,16419,11641,0.0239,0.005
Maverick County,0.881691101,2933,5519,0.1906,0.2252,0.227025915,24310,18791,0.0364,0.0018
Medina County,0.535104732,5156,7915,0.3615,0.4301,0.421167456,18793,10878,0.0597,-0.0089
Menard County,0.064864865,740,788,0.5263,0.5864,0.616588419,1278,490,0.0903,0.0302
Midland County,1.401503616,21016,50470,0.2787,0.3179,0.347359872,145296,94826,0.0687,0.0295
Milam County,0.092473118,4185,4572,0.3553,0.4132,0.421227197,10854,6282,0.0659,0.008
Mills County,0.083333333,1440,1560,0.477,0.5265,0.517241379,3016,1456,0.0402,-0.0093
Mitchell County,0.185,1200,1422,0.3153,0.3418,0.383702105,3706,2284,0.0684,0.0419
Montague County,0.226100489,4498,5515,0.4873,0.4969,0.512737077,10756,5241,0.0254,0.0158
Montgomery County,1.800702054,30482,85371,0.2689,0.3264,0.310918249,274577,189206,0.042,-0.0155
Moore County,0.039263209,2063,2144,0.1899,0.1465,0.163801666,13089,10945,-0.0261,0.0173
Morris County,0.252623688,1334,1671,0.2072,0.2609,0.311057334,5372,3701,0.1039,0.0502
Motley County,-0.025114155,438,427,0.5069,0.4915,0.514457831,830,403,0.0076,0.023
Nacogdoches County,0.50268998,5948,8938,0.2062,0.2566,0.272932698,32748,23810,0.0667,0.0163
Navarro County,0.349775785,6021,8127,0.2551,0.2953,0.318418681,25523,17396,0.0633,0.0231
Newton County,-0.04440649,1171,1119,0.3241,0.3977,0.440377804,2541,1422,0.1163,0.0427
Nolan County,0.103839442,2292,2530,0.267,0.2842,0.285811116,8852,6322,0.0188,0.0016
Nueces County,0.481047957,29047,43020,0.1595,0.1915,0.197835854,217453,174433,0.0383,0.0063
Ochiltree County,0.534493101,1667,2558,0.2894,0.307,0.344279946,7430,4872,0.0549,0.0373
Oldham County,0.030732861,423,436,0.2899,0.3086,0.31276901,1394,958,0.0229,0.0042
Orange County,0.141782237,6778,7739,0.1996,0.2372,0.242487858,31915,24176,0.0429,0.0053
Palo Pinto County,0.482323232,3564,5283,0.2848,0.3507,0.360565111,14652,9369,0.0758,0.0099
Panola County,0.153005464,3660,4220,0.342,0.282,0.31335858,13467,9247,-0.0286,0.0314
Parker County,0.720544737,16228,27921,0.4489,0.4269,0.443605917,62941,35020,-0.0053,0.0167
Parmer County,0.096645367,1252,1373,0.1994,0.1753,0.19707191,6967,5594,-0.0023,0.0218
Pecos County,0.276395427,1487,1898,0.2156,0.2067,0.242091837,7840,5942,0.0265,0.0354
Polk County,0.446861405,4827,6984,0.3092,0.361,0.370425374,18854,11870,0.0612,0.0094
Potter County,-0.161154315,21346,17906,0.2113,0.1696,0.177621268,100810,82904,-0.0337,0.008
Presidio County,0.735253772,729,1265,0.2763,0.329,0.388632873,3255,1990,0.1123,0.0596
Rains County,0.143637357,1831,2094,0.5249,0.4861,0.497623574,4208,2114,-0.0273,0.0115
Randall County,0.646003383,13599,22384,0.385,0.3993,0.401997055,55682,33298,0.017,0.0027
Reagan County,1.046554935,537,1099,0.2946,0.3379,0.3501115,3139,2040,0.0555,0.0122
Real County,0.380530973,678,936,0.4815,0.5359,0.530913216,1763,827,0.0494,-0.005
Red River County,0.167624521,2088,2438,0.3421,0.4131,0.44456601,5484,3046,0.1025,0.0315
Reeves County,0.300218341,916,1191,0.1457,0.1776,0.169875909,7011,5820,0.0242,-0.0077
Refugio County,0.162189055,1005,1168,0.3134,0.3071,0.307045216,3804,2636,-0.0064,-1.00E-04
Roberts County,0.485436893,206,306,0.4609,0.4865,0.553345389,553,247,0.0924,0.0668
Robertson County,0.24035507,2929,3633,0.4165,0.4615,0.440898058,8240,4607,0.0244,-0.0206
Rockwall County,2.408268275,5636,19209,0.2832,0.387,0.380391303,50498,31289,0.0972,-0.0066
Runnels County,0.085972851,2210,2400,0.3592,0.4178,0.432978531,5543,3143,0.0738,0.0152
Rusk County,0.379620762,5221,7203,0.2717,0.2823,0.335132369,21493,14290,0.0634,0.0528
Sabine County,-0.038585209,1244,1196,0.3186,0.3657,0.328300851,3643,2447,0.0097,-0.0374
San Augustine County,-0.00088574,1129,1128,0.3526,0.3608,0.374875374,3009,1881,0.0223,0.0141
San Jacinto County,0.431528662,2512,3596,0.5048,0.5368,0.59764002,6017,2421,0.0928,0.0608
San Patricio County,0.541760722,4873,7513,0.1971,0.2758,0.253843295,29597,22084,0.0567,-0.022
San Saba County,0.223870533,1483,1815,0.3987,0.4888,0.478891821,3790,1975,0.0802,-0.0099
Schleicher County,0.164345404,718,836,0.4229,0.4185,0.471783296,1772,936,0.0489,0.0533
Scurry County,0.276041667,2496,3185,0.2802,0.2932,0.309463661,10292,7107,0.0293,0.0163
Shackelford County,1.033477322,926,1883,0.4984,0.5158,0.565295707,3331,1448,0.0669,0.0495
Shelby County,0.155084999,3353,3873,0.287,0.2924,0.308876306,12539,8666,0.0219,0.0165
Sherman County,0.049766719,643,675,0.3691,0.3926,0.407608696,1656,981,0.0385,0.015
Smith County,0.822672414,23200,42286,0.2099,0.2661,0.28216626,149862,107576,0.0723,0.0161
Somervell County,0.58362069,1160,1837,0.234,0.2784,0.31842607,5769,3932,0.0844,0.04
Starr County,0.25592173,5826,7317,0.3503,0.3051,0.302193037,24213,16896,-0.0481,-0.0029
Stephens County,0.48359333,1859,2758,0.3619,0.4045,0.450948332,6116,3358,0.089,0.0464
Sterling County,0.264550265,378,478,0.433,0.3991,0.468168462,1021,543,0.0352,0.0691
Stonewall County,0.144012945,618,707,0.4932,0.5039,0.540519878,1308,601,0.0473,0.0366
Sutton County,0.12543153,869,978,0.318,0.2726,0.322134387,3036,2058,0.0041,0.0495
Swisher County,0.013667426,1317,1335,0.3349,0.3775,0.395321291,3377,2042,0.0604,0.0178
Tarrant County,1.261634692,140528,317823,0.1595,0.2306,0.254362383,1249489,931666,0.0949,0.0238
Taylor County,0.407097464,15893,22363,0.2046,0.2282,0.24794882,90192,67829,0.0433,0.0197
Terrell County,-0.295081967,305,215,0.3576,0.3568,0.381882771,563,348,0.0243,0.0251
Terry County,0.042768711,1777,1853,0.3023,0.3005,0.310645432,5965,4112,0.0083,0.0101
Throckmorton County,0.510998308,591,893,0.5212,0.5392,0.636493229,1403,510,0.1153,0.0973
Titus County,0.333668005,2988,3985,0.1589,0.1739,0.194979939,20438,16453,0.0361,0.0211
Tom Green County,0.441158253,12916,18614,0.2061,0.2339,0.260157375,71549,52935,0.0541,0.0263
Travis County,1.374179729,102710,243852,0.1541,0.2269,0.239683661,1017391,773539,0.0856,0.0128
Trinity County,0.04008329,1921,1998,0.414,0.4216,0.439120879,4550,2552,0.0251,0.0175
Tyler County,-0.038681319,2275,2187,0.3569,0.3617,0.345115985,6337,4150,-0.0118,-0.0166
Upshur County,0.364705882,4760,6496,0.4071,0.426,0.452462214,14357,7861,0.0454,0.0265
Upton County,0.534381139,509,781,0.294,0.3112,0.322194719,2424,1643,0.0282,0.011
Uvalde County,0.408985025,3005,4234,0.2299,0.2604,0.284409216,14887,10653,0.0545,0.024
Val Verde County,0.460478419,3846,5617,0.1912,0.186,0.221928092,25310,19693,0.0307,0.0359
Van Zandt County,0.37118223,6843,9383,0.415,0.4521,0.43788501,21428,12045,0.0229,-0.0142
Victoria County,0.343068875,9176,12324,0.1904,0.2309,0.231037456,53342,41018,0.0406,0.0001
Walker County,0.759590793,4301,7568,0.1545,0.2306,0.2260454,33480,25912,0.0715,-0.0046
Waller County,1.243187204,3376,7573,0.2406,0.2905,0.295947477,25589,18016,0.0553,0.0054
Ward County,0.471559633,1090,1604,0.2425,0.258,0.248875097,6445,4841,0.0064,-0.0091
Washington County,0.400277248,5771,8081,0.2879,0.3115,0.338173753,23896,15815,0.0503,0.0267
Webb County,2.107569363,11137,34609,0.1301,0.2353,0.244386228,141616,107007,0.1143,0.0091
Wharton County,0.354311008,5196,7037,0.2506,0.3058,0.294583054,23888,16851,0.044,-0.0112
Wheeler County,0.476688103,1244,1837,0.3868,0.385,0.441480413,4161,2324,0.0547,0.0565
Wichita County,0.389655422,13843,19237,0.1699,0.2144,0.232899102,82598,63361,0.063,0.0185
Wilbarger County,0.003676471,1904,1911,0.2172,0.2076,0.238101171,8026,6115,0.0209,0.0305
Willacy County,0.543154762,1344,2074,0.2567,0.3054,0.347403685,5970,3896,0.0907,0.042
Williamson County,2.677597433,21194,77943,0.2055,0.308,0.305501879,255131,177188,0.1,-0.0025
Wilson County,0.85197441,4533,8395,0.4386,0.4901,0.480840827,17459,9064,0.0422,-0.0093
Winkler County,0.31897712,743,980,0.2445,0.2575,0.250063792,3919,2939,0.0056,-0.0074
Wise County,0.684103863,7895,13296,0.3716,0.3506,0.388023113,34266,20970,0.0164,0.0374
Wood County,0.735712722,4567,7927,0.3294,0.4349,0.421873337,18790,10863,0.0925,-0.013
Yoakum County,0.246982358,1077,1343,0.2633,0.2529,0.252206573,5325,3982,-0.0111,-0.0007
Young County,0.479414456,4372,6468,0.3937,0.4351,0.475273716,13609,7141,0.0816,0.0402
Zapata County,0.515706806,1146,1737,0.2766,0.2815,0.299586064,5798,4061,0.023,0.0181
Zavala County,-0.17823479,1167,959,0.2787,0.2432,0.213443134,4493,3534,-0.0653,-0.0298
