county,state,county_state,cfips,venturedensityoct18,venturedensityjan19,venturedensitymar20,venturedensityfeb20,venturedensityjan20,venturedensitydec19,venturedensitynov19,venturedensityoct19,venturedensitysep19,venturedensityaug19,venturedensityapr18,venturedensityjul20,venturedensityjun20,venturedensitymay20,venturedensityapr20,venturedensityaug20,venturedensitysep20,highlyactivemar20,highlyactivefeb20,highlyactivejan20,highlyactivedec19,highlyactivenov19,highlyactiveoct19,highlyactivesep19,highlyactiveaug19,highlyactiveoct18,highlyactivejan19,highlyactiveapr18,highlyactivejul20,highlyactivejun20,highlyactivemay20,highlyactiveapr20,highlyactiveaug20,highlyactivesep20,unemployment2018,population,change_income16_18,pctbroadband,pctblack,pctnative,pctasian,pcthispanic,pctagriculture,pctconstruction,pctwholesale,pctretail,pcttransportation,pctinformation_tech,pctfinance,pctprofessional,pcteducation,pctpublic,pcthighschool,pctcollege,pctmillennial,pctgenx,pctbabyboomer,net_migration,pctforeignborn,prosperityindex2018,change_prosperity_07_18,medinc2018,medinc2017,medinc2016,prosperityindex2016,change_prosperity_07_16
Autauga,Alabama,"Autauga County, AL",1001,2.129012346,0.372395515,0.414176464,0.412359893,0.408726782,0.401460528,0.401460528,0.399643958,0.397827387,0.403277069,0.259768575,0.401460528,0.412359893,0.423259288,0.421442717,0.390561134,0.385111451,0.085378483,0.096277863,0.098094426,0.094461299,0.08356192,0.085378483,0.08356192,0.094461299,0.439608335,0.087195046,0.42881003,0.096277863,0.098094426,0.098094426,0.096277863,0.094461299,0.098094426,5.199999809,55049,5687,66.09999847,18.37090492,0.410543323,0.806554139,2.572253704,1.200000048,4.800000191,3.099999905,10.39999962,6.599999905,1.799999952,5.5,8.300000191,18.20000076,11.89999962,87.59999847,24.60000038,18.39999962,28.40000153,20.09999847,-1396,0.021126634,46.67227554,-13.73287964,58786,55317,53099,59.18178558,-1.223369598
Baldwin,Alabama,"Baldwin County, AL",1003,5.377675533,5.333065987,6.225251675,6.012731075,6.08591032,6.096937656,6.078893185,6.045310974,6.04130125,5.933035851,2.278582573,6.55706501,6.495914936,6.43376255,6.341536999,7.011678696,6.947020054,1.332765222,1.353816867,1.432008386,1.3718611,1.343792319,1.345797181,1.327251792,1.387900352,1.206957102,1.181895614,1.161786079,1.37085855,1.360332847,1.41095686,1.406947017,1.363841414,1.349305749,5.5,199510,4597,61.59999847,9.22560215,0.61550802,0.664127111,4.366698265,1.399999976,7.699999809,3,15,4.900000095,1.399999976,6.900000095,10.30000019,19.60000038,4.800000191,90,29.5,16.89999962,26.20000076,25,2010,0.033111122,74.70825195,15.79074097,55962,52562,51365,75.1627655,16.24525452
Barbour,Alabama,"Barbour County, AL",1005,0.710152566,0.206658155,0.390771776,0.34568271,0.356954992,0.356954992,0.360712409,0.360712409,0.46592018,0.34568271,0.071390994,0.311865926,0.315623343,0.323138207,0.364469826,0.31938079,0.31938079,0.101450361,0.097692944,0.112722628,0.097692944,0.093935519,0.105207786,0.116480045,0.097692944,0.157811686,0.048846472,0.157394201,0.08266326,0.078905836,0.105207786,0.105207786,0.078905836,0.086420678,12.39999962,26614,230,44.30000305,47.88832855,0.17284137,0.443375677,4.309762001,4.5,6.300000191,2.799999952,11.60000038,6.400000095,0.600000024,3.400000095,4.699999809,19.79999924,7.199999809,73.80000305,12.89999962,21,26.20000076,22.70000076,-367,0.026189223,20.10906219,1.867454529,34186,33368,33956,22.14295197,3.901344299
Bibb,Alabama,"Bibb County, AL",1007,1.001240492,0.137338296,0.203792304,0.181640968,0.186071232,0.177210703,0.177210703,0.181640968,0.172780439,0.181640968,0.101896152,0.248094991,0.25252524,0.230373919,0.217083111,0.25252524,0.25252524,0.031011874,0.01772107,0.01772107,0.013290803,0.008860535,0.01772107,0.01772107,0.013290803,0.172780439,0.022151338,0.1778014,0.03544214,0.031011874,0.03544214,0.03544214,0.031011874,0.026581606,8.199999809,22572,5564,40.5,21.21212196,0.358851671,0.062023744,2.223994493,3.900000095,8.199999809,1.5,10.19999981,6.699999809,0.300000012,4.199999809,5.400000095,22.29999924,4.400000095,80.69999695,12,20.20000076,28.89999962,21.29999924,462,0.010233918,50.96316147,26.47200394,45340,43404,39776,31.56715393,7.075996399
Blount,Alabama,"Blount County, AL",1009,1.159365058,0.105711907,0.126507699,0.124774709,0.117842786,0.119575769,0.117842786,0.119575769,0.119575769,0.117842786,0.051989462,0.116109803,0.116109803,0.119575769,0.124774709,0.116109803,0.110910855,0.027727714,0.027727714,0.029460697,0.029460697,0.029460697,0.031193677,0.031193677,0.029460697,0.291141003,0.029460697,0.294838011,0.022528768,0.02426175,0.029460697,0.027727714,0.022528768,0.02426175,4.900000095,57704,2483,55.00000381,1.557950974,0.296339959,0.159434363,8.727297783,2.900000095,9.5,3.700000048,11.19999981,7.5,1.100000024,4.800000191,7.199999809,19.70000076,5.400000095,80,13,17,26.79999924,23.39999962,-1568,0.045421463,41.60424423,4.515918732,48695,47412,46212,34.26143646,-2.826889038
Bullock,Alabama,"Bullock County, AL",1011,0.653904498,,,,,,,,,,,,,,,,,,,,,,,,,0.113722518,,,,,,,,,12.10000038,10552,,,,,,,,,,,,,,,,,,,,,,-596,0.018195603,23.94384766,-4.197067261,32152,29655,29335,21.65119171,-6.489723206
Butler,Alabama,"Butler County, AL",1013,0.47830376,0.103550293,0.123274162,0.113412231,0.113412231,0.113412231,0.108481266,0.113412231,0.118343197,0.118343197,0.034516767,0.123274162,0.123274162,0.113412231,0.113412231,0.128205135,0.133136094,0.009861933,0.004930967,0.004930967,0.009861933,0.009861933,0.009861933,0.009861933,0.009861933,0.098619334,0.009861933,0.093688369,0.009861933,0.009861933,0.009861933,0.009861933,0.009861933,0.009861933,7.599999905,20280,4794,48.80000305,43.5157814,0.073964499,1.000986099,1.247534513,3.700000048,7.5,1.100000024,11.80000019,5.5,1.399999976,3.200000048,5.300000191,21.70000076,5.199999809,81.09999847,16.10000038,17.70000076,24.60000038,23.89999962,-684,0.010404339,29.7482605,12.72164154,39109,36326,34315,27.42992401,10.40330505
Calhoun,Alabama,"Calhoun County, AL",1015,2.013237476,1.278876066,1.63527,1.611107707,1.614559531,1.54983902,1.568823695,1.57659018,1.548976064,1.550701976,0.534159482,1.660295248,1.666335821,1.649940014,1.643036485,1.63958478,1.656843543,0.459083736,0.476342529,0.48065722,0.443550825,0.432332605,0.443550825,0.439236134,0.441824943,0.562636435,0.30548054,0.549561739,0.44700259,0.434058487,0.472027808,0.478931338,0.448728472,0.440962017,10.10000038,115883,3243,60.29999924,20.33171272,0.197613105,0.931111515,3.436224461,1.100000024,5.800000191,2.599999905,12.10000038,4.800000191,1.5,4.099999905,6.900000095,22.60000038,7.900000095,82.30000305,17.70000076,19.89999962,25.5,23,1090,0.026069397,38.18733597,8.659221649,45197,43686,41954,35.17338562,5.645271301
Chambers,Alabama,"Chambers County, AL",1017,1.413957357,0.858369112,0.843671024,0.843671024,0.849550247,0.831912518,0.846610606,0.849550247,0.831912518,0.858369112,0.367452532,0.852489829,0.858369112,0.840731382,0.837791741,0.849550247,0.855429471,0.229290381,0.235169619,0.232229993,0.21753189,0.223411128,0.241048858,0.21753189,0.229290381,0.288082778,0.232229993,0.257660359,0.226350754,0.238109231,0.238109231,0.21753189,0.214592278,0.205773413,6.400000095,34018,3845,51.19999695,40.47856903,0.229290381,0.917161524,0.435063809,1.5,4.599999905,2.900000095,12.39999962,3.200000048,2.099999905,3.900000095,9.800000191,18,3.5,80.30000305,12.5,18.10000038,26.10000038,24.70000076,-122,0.012963725,36.3221817,12.21369171,39872,37342,36027,40.30567169,16.1971817
Cherokee,Alabama,"Cherokee County, AL",1019,0.849519253,0.536741734,0.529018819,0.540603161,0.563771844,0.548326075,0.563771844,0.563771844,0.559910417,0.571494758,0.266440123,0.571494758,0.540603161,0.532880247,0.544464588,0.571494758,0.575356245,0.115843534,0.119704984,0.13515079,0.123566434,0.131289333,0.123566434,0.119704984,0.123566434,0.181488201,0.119704984,0.190053597,0.127427891,0.119704984,0.119704984,0.115843534,0.123566434,0.123566434,5.300000191,25897,2089,51.70000076,4.606710911,0.586940587,0.332084775,1.563887715,2,7.5,1.799999952,10.10000038,6.5,0.899999976,2.299999952,4.900000095,24.89999962,6.599999905,81.30000305,14,14.80000019,26.5,28.5,-277,0.00668031,50.95551682,18.80369186,41014,40041,38925,46.502285,14.35046005
